video_id,comment_id,video_title,channel_name_c,channel_id_c,author_name,author_channel_id,text,source_query_c,source_group_c,dataset_sources,author_handle,published_text,like_count_text,reply_count,is_pinned,viewer_rating,author_name_norm,channel_name_norm,video_title_norm,source_query_norm,source_group_norm,author_handle_norm,author_name_key,like_count_parsed,like_count_blank,like_count,reply_count_num,is_pinned_bool,published_text_edited,published_text_norm,published_bucket,published_days_approx,texto_original,texto_limpio,texto_sin_lema,hashtags,mentions,urls,emojis,n_hashtags,n_mentions,n_urls,n_emojis,texto_sentimiento,len_original,len_limpio,tokens_original,tokens_limpio,texto_modificado,quedo_vacio_tras_limpieza,title,channel_id_v,channel_name_v,channel_handle,owner_handle,category,source_query_v,source_group_v,view_count_final,publish_date,publish_date_dt,keywords,keywords_list,description,n_keywords,video_url
j43HgwYFKfk,Ugw-J65a1iYL9hqhELh4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@MarcosCarillo-b1r,UCdFlugHJJa4l3YqWuNRmvXw,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@MarcosCarillo-b1r,hace 6 meses, ,0,False,,@MarcosCarillo-b1r,Quorum,La cooptación de Walter Mazariegos en la USAC,@quorumgt,topic,@MarcosCarillo-b1r,@marcoscarillo-b1r,,True,0,0,False,False,hace 6 meses,1 mes - 1 ano,182.64,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,corrupto amigo viejo fiscal verbo el carcel,corrupto amigo vieja fiscal verbose carcel,[],[],[],[],0,0,0,0,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,72,43,14,7,True,False,La cooptación de Walter Mazariegos en la USAC,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,/@quorumgt,/@quorumgt,News & Politics,@quorumgt,topic,10156,2024-09-26T15:00:17-07:00,2024-09-26 22:00:17+00:00,"[""USAC"", ""Walter Mazariegos"", ""Mazariegos rector"", ""Fraude USAC"", ""Elecciones USAC"", ""Toma USAC"", ""CSU USAC"", ""Quorum GT"", ""Periodismo Guatemala"", ""Luis Cordón USAC""]","[""USAC"", ""Walter Mazariegos"", ""Mazariegos rector"", ""Fraude USAC"", ""Elecciones USAC"", ""Toma USAC"", ""CSU USAC"", ""Quorum GT"", ""Periodismo Guatemala"", ""Luis Cordón USAC""]","🚨El rector de facto de la #USAC, Walter Mazariegos, tiene una alianza que le permite controlar un presupuesto millonario, quitar a sus opositores del camino y colocar a sus allegados en puestos importantes. Más de la mitad de sus cómplices en el Consejo Superior Universitario (CSU) se han prolongado en el poder y no tienen la intención de soltarlo.

👁️ Aunque las cosas podrían cambiar…

Ayudanos compartiendo, comentando y dándole like a este video.

🔍 También podés leer el reportaje completo en este link👉🏻 https://quorum.gt/poder/captura/usac/mazariegos_csu/

📲 Seguí a Quorum en todas las redes para ver más contenido interesante de #Guatemala.

⚫️ X: https://twitter.com/QuorumGT
🟣 Instagram: https://www.instagram.com/holaquorum?igsh=a2l2MHp6dXA5aGg4
🟠 TikTok:https://www.tiktok.com/@quorumgt?_t=8q3C9YsmOiT&_r=1
🔵 Facebook: https://www.facebook.com/QuorumGT?mibextid=LQQJ4d
🟢 Canal de WhatsApp: https://whatsapp.com/channel/0029Va8IZV65PO0ul2cBdD0l",10,https://www.youtube.com/watch?v=j43HgwYFKfk
06mFNPU0aB8,Ugw-ZT9t9wU2V-tCaUZ4AaABAg,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,@RaulPerez-cw2vi,UCvl1tzQeBeGy6efPTRJXSCw,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@RaulPerez-cw2vi,hace 2 semanas, ,0,False,,@RaulPerez-cw2vi,Noti7,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,guatemala noticias,topic,@RaulPerez-cw2vi,@raulperez-cw2vi,,True,0,0,False,False,hace 2 semanas,1 sem - 1 mes,14.0,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",joven buscar trabajo suerte policia gustar var vestido mujer ensamblado maquinario,jovenes buscan trabajo suerte policias gusta vando vestido mujer ensamblado maquinaria,[],[],[],[],0,0,0,0,"Están jóvenes porque no buscan un trabajo, tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",175,82,31,11,True,False,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,/@Noti7Guatemala,/@Noti7Guatemala,News & Politics,guatemala noticias,topic,6692,2026-08-13T22:00:12-07:00,2026-08-14 05:00:12+00:00,"[""Actualidad"", ""Asaltantes disfrazados"", ""Capturados Escuintla"", ""Guatemala"", ""Noti7"", ""Noticias"", ""PNC"", ""Televisiete"", ""información"", ""noticias"", ""capturas""]","[""Actualidad"", ""Asaltantes disfrazados"", ""Capturados Escuintla"", ""Guatemala"", ""Noti7"", ""Noticias"", ""PNC"", ""Televisiete"", ""información"", ""noticias"", ""capturas""]",La rápida acción policial frustró el plan de los sujetos que usaron minifaldas para huir.,11,https://www.youtube.com/watch?v=06mFNPU0aB8
j43HgwYFKfk,Ugw0xaOb2CYXXoudtwJ4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@iamjimalesssa,UCRAquv8el-tQ30bN7MlmySQ,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@iamjimalesssa,hace 1 año,4,0,False,,@iamjimalesssa,Quorum,La cooptación de Walter Mazariegos en la USAC,@quorumgt,topic,@iamjimalesssa,@iamjimalesssa,4.0,False,4,0,False,False,hace 1 año,1 mes - 1 ano,365.25,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",dejar gana demandar ilegalidad reunion virtual maquila,dejaron ganas demandar ilegalidad reuniones virtuales maquila,[],[],[],[],0,0,0,0,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",97,54,17,7,True,False,La cooptación de Walter Mazariegos en la USAC,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,/@quorumgt,/@quorumgt,News & Politics,@quorumgt,topic,10156,2024-09-26T15:00:17-07:00,2024-09-26 22:00:17+00:00,"[""USAC"", ""Walter Mazariegos"", ""Mazariegos rector"", ""Fraude USAC"", ""Elecciones USAC"", ""Toma USAC"", ""CSU USAC"", ""Quorum GT"", ""Periodismo Guatemala"", ""Luis Cordón USAC""]","[""USAC"", ""Walter Mazariegos"", ""Mazariegos rector"", ""Fraude USAC"", ""Elecciones USAC"", ""Toma USAC"", ""CSU USAC"", ""Quorum GT"", ""Periodismo Guatemala"", ""Luis Cordón USAC""]","🚨El rector de facto de la #USAC, Walter Mazariegos, tiene una alianza que le permite controlar un presupuesto millonario, quitar a sus opositores del camino y colocar a sus allegados en puestos importantes. Más de la mitad de sus cómplices en el Consejo Superior Universitario (CSU) se han prolongado en el poder y no tienen la intención de soltarlo.

👁️ Aunque las cosas podrían cambiar…

Ayudanos compartiendo, comentando y dándole like a este video.

🔍 También podés leer el reportaje completo en este link👉🏻 https://quorum.gt/poder/captura/usac/mazariegos_csu/

📲 Seguí a Quorum en todas las redes para ver más contenido interesante de #Guatemala.

⚫️ X: https://twitter.com/QuorumGT
🟣 Instagram: https://www.instagram.com/holaquorum?igsh=a2l2MHp6dXA5aGg4
🟠 TikTok:https://www.tiktok.com/@quorumgt?_t=8q3C9YsmOiT&_r=1
🔵 Facebook: https://www.facebook.com/QuorumGT?mibextid=LQQJ4d
🟢 Canal de WhatsApp: https://whatsapp.com/channel/0029Va8IZV65PO0ul2cBdD0l",10,https://www.youtube.com/watch?v=j43HgwYFKfk
j43HgwYFKfk,Ugw0xgUc2ISpBr5_T654AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@gonzalo6075,UCkbsS_3D-pvg1iHOld9uvIg,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@gonzalo6075,hace 1 año, ,0,False,,@gonzalo6075,Quorum,La cooptación de Walter Mazariegos en la USAC,@quorumgt/videos,channel,@gonzalo6075,@gonzalo6075,,True,0,0,False,False,hace 1 año,1 mes - 1 ano,365.25,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,mafioso mazariegos carcel tiempo sombra,veremos mafioso mazariegos carcel tiempo sombra,[],[],[],[],0,0,0,0,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,80,39,16,5,True,False,La cooptación de Walter Mazariegos en la USAC,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,/@quorumgt,/@quorumgt,News & Politics,@quorumgt,topic,10156,2024-09-26T15:00:17-07:00,2024-09-26 22:00:17+00:00,"[""USAC"", ""Walter Mazariegos"", ""Mazariegos rector"", ""Fraude USAC"", ""Elecciones USAC"", ""Toma USAC"", ""CSU USAC"", ""Quorum GT"", ""Periodismo Guatemala"", ""Luis Cordón USAC""]","[""USAC"", ""Walter Mazariegos"", ""Mazariegos rector"", ""Fraude USAC"", ""Elecciones USAC"", ""Toma USAC"", ""CSU USAC"", ""Quorum GT"", ""Periodismo Guatemala"", ""Luis Cordón USAC""]","🚨El rector de facto de la #USAC, Walter Mazariegos, tiene una alianza que le permite controlar un presupuesto millonario, quitar a sus opositores del camino y colocar a sus allegados en puestos importantes. Más de la mitad de sus cómplices en el Consejo Superior Universitario (CSU) se han prolongado en el poder y no tienen la intención de soltarlo.

👁️ Aunque las cosas podrían cambiar…

Ayudanos compartiendo, comentando y dándole like a este video.

🔍 También podés leer el reportaje completo en este link👉🏻 https://quorum.gt/poder/captura/usac/mazariegos_csu/

📲 Seguí a Quorum en todas las redes para ver más contenido interesante de #Guatemala.

⚫️ X: https://twitter.com/QuorumGT
🟣 Instagram: https://www.instagram.com/holaquorum?igsh=a2l2MHp6dXA5aGg4
🟠 TikTok:https://www.tiktok.com/@quorumgt?_t=8q3C9YsmOiT&_r=1
🔵 Facebook: https://www.facebook.com/QuorumGT?mibextid=LQQJ4d
🟢 Canal de WhatsApp: https://whatsapp.com/channel/0029Va8IZV65PO0ul2cBdD0l",10,https://www.youtube.com/watch?v=j43HgwYFKfk
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@luisroldan7374,UCOLHH4ZpMxPYF-Q6e6wvn5A,"eso es para que salga de USA por su propio pie 
que se auto deporten",guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@luisroldan7374,hace 1 día,2,1,False,,@luisroldan7374,Noticias Telemundo,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,guatemala noticias,topic,@luisroldan7374,@luisroldan7374,2.0,False,2,1,False,False,hace 1 día,<1 semana,1.0,"eso es para que salga de USA por su propio pie 
que se auto deporten",salir pie auto deportar,salga pie auto deporten,[],[],[],[],0,0,0,0,eso es para que salga de USA por su propio pie que se auto deporten,68,23,15,4,True,False,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,/@noticias,/@noticias,News & Politics,guatemala noticias,topic,14200,2026-08-30T16:38:02-07:00,2026-08-30 23:38:02+00:00,"[""telemundo noticias"", ""noticias telemundo"", ""noticias telemundo de hoy"", ""noticias"", ""noticias en vivo"", ""telemundo"", ""noticias de ultima hora"", ""noticias de hoy"", ""ee uu deporta a miles de mexicanos a traves de guatemala"", ""mexico rechaza uso de guatemala como pais puente"", ""dhs acelera expulsiones de mexicanos por guatemala"", ""polemica por ruta de deportacion de ee uu a tapachula"", ""miles de deportados mexicanos quedan varados en guatemala""]","[""telemundo noticias"", ""noticias telemundo"", ""noticias telemundo de hoy"", ""noticias"", ""noticias en vivo"", ""telemundo"", ""noticias de ultima hora"", ""noticias de hoy"", ""ee uu deporta a miles de mexicanos a traves de guatemala"", ""mexico rechaza uso de guatemala como pais puente"", ""dhs acelera expulsiones de mexicanos por guatemala"", ""polemica por ruta de deportacion de ee uu a tapachula"", ""miles de deportados mexicanos quedan varados en guatemala""]","Video oficial de Noticias Telemundo. Desde abril, casi 2,300 mexicanos han sido enviados a Guatemala, según autoridades de ese país. Al llegar a Tapachula, muchos deben buscar cómo trasladarse a sus estados de origen. DHS justifica el uso de países “puente” para acelerar las expulsiones.

Descarga nuestra App:
https://telemundo.app.link/Mtq7sTKAUtb

SUSCRÍBETE: https://bit.ly/TLMDNoticiasYT

Noticias
Noticias Telemundo es un proveedor líder de noticias para los hispanos de EE.UU. Sus galardonados espacios de noticias, transmitidos desde Telemundo Center, incluyen los noticieros diarios ""Noticias Telemundo"" con Julio Vaqueiro; ""Noticias Telemundo Fin de Semana"", ""Noticias Telemundo Mediodía"" y ""Noticias Telemundo En La Noche"". El ""Equipo Digital de Noticias Telemundo"" ofrece contenido ininterrumpido para los hispanos de EE.UU. a través de sus crecientes plataformas móviles y en línea. ""Noticias Telemundo Investiga"" produce reportes investigativos y documentales en profundidad. ""Noticias Telemundo Planeta Tierra"" ofrece información relacionada con el medio ambiente y el cambio climático. Adicionalmente, ""Noticias Telemundo"" produce galardonados especiales de noticias, documentales y eventos noticiosos como debates políticos, asambleas ciudadanas y foros.

Telemundo
Es una empresa de medios de primera categoría, líder en la industria en la producción y distribución de contenido en español de alta calidad a través de múltiples plataformas para hispanos en los Estados Unidos y alrededor del mundo. La cadena ofrece producciones dramáticas originales de Telemundo Studios – el productor #1 de contenido en español de horario estelar – así como contenido alternativo, películas de cine, especiales, noticias y eventos deportivos de primer nivel, alcanzando el 94% de los televidentes hispanos en los Estados Unidos en 210 mercados a través de 17 estaciones propias y 57 afiliadas de TV abierta. Telemundo también es propietaria de WKAQ, una estación de televisión local que sirve Puerto Rico. Telemundo es parte de NBCUniversal Telemundo Enterprises, una división de NBCUniversal, una de las compañías líderes en el mundo de los medios y entretenimiento. NBCUniversal es una subsidiaria de Comcast Corporation.

SÍGUENOS EN X: https://twitter.com/telemundonews
DANOS ME GUSTA EN FACEBOOK: https://www.facebook.com/NoticiasTelemundo

#NoticiasTelemundo #Deportaciones #Frontera 

EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
https://www.youtube.com/noticias

Noticias, Telemundo, Noticias Telemundo de hoy, Telemundo Noticias, Noticias, Telemundo, Telemundo Noticias de hoy, Noticias Telemundo de hoy en vivo, Ultima hora, Noticias de hoy, Noticias de Ultima hora",13,https://www.youtube.com/watch?v=OkXlHx0hx-8
OkXlHx0hx-8,Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@eugeneramirez4405,UCi2KiZq63sRq8Mfbcp-MelQ,Imagine if they had to walk back home.,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@eugeneramirez4405,hace 20 horas, ,0,False,,@eugeneramirez4405,Noticias Telemundo,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,guatemala noticias,topic,@eugeneramirez4405,@eugeneramirez4405,,True,0,0,False,False,hace 20 horas,<1 semana,0.833,Imagine if they had to walk back home.,imagine they had walk back home,imagine they had walk back home,[],[],[],[],0,0,0,0,Imagine if they had to walk back home.,38,31,8,6,True,False,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,/@noticias,/@noticias,News & Politics,guatemala noticias,topic,14200,2026-08-30T16:38:02-07:00,2026-08-30 23:38:02+00:00,"[""telemundo noticias"", ""noticias telemundo"", ""noticias telemundo de hoy"", ""noticias"", ""noticias en vivo"", ""telemundo"", ""noticias de ultima hora"", ""noticias de hoy"", ""ee uu deporta a miles de mexicanos a traves de guatemala"", ""mexico rechaza uso de guatemala como pais puente"", ""dhs acelera expulsiones de mexicanos por guatemala"", ""polemica por ruta de deportacion de ee uu a tapachula"", ""miles de deportados mexicanos quedan varados en guatemala""]","[""telemundo noticias"", ""noticias telemundo"", ""noticias telemundo de hoy"", ""noticias"", ""noticias en vivo"", ""telemundo"", ""noticias de ultima hora"", ""noticias de hoy"", ""ee uu deporta a miles de mexicanos a traves de guatemala"", ""mexico rechaza uso de guatemala como pais puente"", ""dhs acelera expulsiones de mexicanos por guatemala"", ""polemica por ruta de deportacion de ee uu a tapachula"", ""miles de deportados mexicanos quedan varados en guatemala""]","Video oficial de Noticias Telemundo. Desde abril, casi 2,300 mexicanos han sido enviados a Guatemala, según autoridades de ese país. Al llegar a Tapachula, muchos deben buscar cómo trasladarse a sus estados de origen. DHS justifica el uso de países “puente” para acelerar las expulsiones.

Descarga nuestra App:
https://telemundo.app.link/Mtq7sTKAUtb

SUSCRÍBETE: https://bit.ly/TLMDNoticiasYT

Noticias
Noticias Telemundo es un proveedor líder de noticias para los hispanos de EE.UU. Sus galardonados espacios de noticias, transmitidos desde Telemundo Center, incluyen los noticieros diarios ""Noticias Telemundo"" con Julio Vaqueiro; ""Noticias Telemundo Fin de Semana"", ""Noticias Telemundo Mediodía"" y ""Noticias Telemundo En La Noche"". El ""Equipo Digital de Noticias Telemundo"" ofrece contenido ininterrumpido para los hispanos de EE.UU. a través de sus crecientes plataformas móviles y en línea. ""Noticias Telemundo Investiga"" produce reportes investigativos y documentales en profundidad. ""Noticias Telemundo Planeta Tierra"" ofrece información relacionada con el medio ambiente y el cambio climático. Adicionalmente, ""Noticias Telemundo"" produce galardonados especiales de noticias, documentales y eventos noticiosos como debates políticos, asambleas ciudadanas y foros.

Telemundo
Es una empresa de medios de primera categoría, líder en la industria en la producción y distribución de contenido en español de alta calidad a través de múltiples plataformas para hispanos en los Estados Unidos y alrededor del mundo. La cadena ofrece producciones dramáticas originales de Telemundo Studios – el productor #1 de contenido en español de horario estelar – así como contenido alternativo, películas de cine, especiales, noticias y eventos deportivos de primer nivel, alcanzando el 94% de los televidentes hispanos en los Estados Unidos en 210 mercados a través de 17 estaciones propias y 57 afiliadas de TV abierta. Telemundo también es propietaria de WKAQ, una estación de televisión local que sirve Puerto Rico. Telemundo es parte de NBCUniversal Telemundo Enterprises, una división de NBCUniversal, una de las compañías líderes en el mundo de los medios y entretenimiento. NBCUniversal es una subsidiaria de Comcast Corporation.

SÍGUENOS EN X: https://twitter.com/telemundonews
DANOS ME GUSTA EN FACEBOOK: https://www.facebook.com/NoticiasTelemundo

#NoticiasTelemundo #Deportaciones #Frontera 

EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
https://www.youtube.com/noticias

Noticias, Telemundo, Noticias Telemundo de hoy, Telemundo Noticias, Noticias, Telemundo, Telemundo Noticias de hoy, Noticias Telemundo de hoy en vivo, Ultima hora, Noticias de hoy, Noticias de Ultima hora",13,https://www.youtube.com/watch?v=OkXlHx0hx-8
yLZS3JiEBg8,Ugw2014OIYf336oytFt4AaABAg,Arroz con pollo a la MONOPOLIO,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@capitanfrans,UCXl30Y_upRqbti52fmjK4YA,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@capitanfrans,hace 2 años, ,0,False,,@capitanfrans,Quorum,Arroz con pollo a la MONOPOLIO,@quorumgt/videos,channel,@capitanfrans,@capitanfrans,,True,0,0,False,False,hace 2 años,1 - 2 anos,730.5,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,buenisima investigacion hand purple blue peace hand purple blue peace hand purple blue peace,buenisima investigacion hand purple blue peace hand purple blue peace hand purple blue peace,[],[],[],[],0,0,0,0,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,96,92,3,14,True,False,Arroz con pollo a la MONOPOLIO,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,/@quorumgt,/@quorumgt,News & Politics,@quorumgt/videos,channel,1954,2024-05-09T19:15:12-07:00,2024-05-10 02:15:12+00:00,[],[],"🔍 En Guatemala tenemos un mercado no tan “libre” que digamos. 

💸 Unas pocas empresas dominan las diferentes industrias y en algunos sectores no hay una competencia real que favorezca al consumidor.

🎥 Hoy estrenamos #LasMañasDelMercado para hablar de la industria alimenticia y la necesidad de una #LeyDeCompetencia.",0,https://www.youtube.com/watch?v=yLZS3JiEBg8
n8iP75gIpmw,Ugw2bSVOoNn2pc8ZcUl4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@danyraymundo2942,UCRelkU8JiZBytTzebJxaa-w,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@danyraymundo2942,hace 2 años,3,0,False,,@danyraymundo2942,Quorum,Qué rico come tu diputado,@quorumgt/videos,channel,@danyraymundo2942,@danyraymundo2942,3.0,False,3,0,False,False,hace 2 años,1 - 2 anos,730.5,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",lonchero sacrifiquense reintevrir dinero robar,lleven lonchera sacrifiquense reintevren dinero robando,[],[],[],[],0,0,0,0,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",84,46,13,5,True,False,Qué rico come tu diputado,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,/@quorumgt,/@quorumgt,News & Politics,Quorum GT,topic,11775,2024-08-27T14:09:51-07:00,2024-08-27 21:09:51+00:00,[],[],"En @ConCriteriogt hablaron hoy sobre nuestro reportaje ""Qué rico come tu diputado"", en el que contamos los almuerzos más caros pagados con fondos públicos entre enero y abril de este año.

Entrevistaron al diputado Nery Rodas, de CABAL, quien asegura que son problemas ""mínimos"".

Si no has leído el repor podés hacerlo acá https://quorum.gt/poder/comida_diputados/",0,https://www.youtube.com/watch?v=n8iP75gIpmw
lj983NWyAQY,Ugw3gnUvLp6AqO0_odt4AaABAg,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,@perritojuega1,UCgLurCo-e019HGODcjXHWCw,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,Municipalidad de Guatemala,topic,lj983NWyAQY_out_comments.csv | youtube_guatemala_plus_comments.csv,/@perritojuega1,hace 5 años,2,0,False,,@perritojuega1,Municipalidad de Guatemala,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,topic,@perritojuega1,@perritojuega1,2.0,False,2,0,False,False,hace 5 años,>2 anos,1826.25,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,vivo guatemala,viva guatemala,[],[],[],"[""🇬🇹"", ""🇬🇹"", ""🇬🇹"", ""🥳"", ""🥳"", ""🥳""]",0,0,0,6,Viva Guatemala emoji bandera guatemala emoji emoji bandera guatemala emoji emoji bandera guatemala emoji emoji cara de fiesta emoji emoji cara de fiesta emoji emoji cara de fiesta emoji,24,14,3,2,True,False,Plan 2032 Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,/@MunicipalidaddeGuatemala-1551,/@MunicipalidaddeGuatemala-1551,News & Politics,Municipalidad de Guatemala,topic,304089,2019-02-28T18:31:10-08:00,2019-03-01 02:31:10+00:00,"[""Ricardo"", ""Quiñónez"", ""Administración"", ""Alcalde"", ""Alcaldía"", ""Alcaldías"", ""Municipalidad"", ""Municipal"", ""Muni"", ""Cumple"", ""Equipo"", ""Transparencia"", ""Servicios"", ""Servir"", ""Servidor"", ""Público"", ""Pasión"", ""Todos"", ""Somos"", ""La"", ""Ciudad"", ""Del"", ""Futuro"", ""Para"", ""Vivir"", ""Polos"", ""desarrollo"", ""pasos a desnivel"", ""movilidad urbana"", ""aerometro"", ""Transmetro"", ""metroriel"", ""Plan 2032"", ""transporte público"", ""reciclaje"", ""movilidad""]","[""Ricardo"", ""Quiñónez"", ""Administración"", ""Alcalde"", ""Alcaldía"", ""Alcaldías"", ""Municipalidad"", ""Municipal"", ""Muni"", ""Cumple"", ""Equipo"", ""Transparencia"", ""Servicios"", ""Servir"", ""Servidor"", ""Público"", ""Pasión"", ""Todos"", ""Somos"", ""La"", ""Ciudad"", ""Del"", ""Futuro"", ""Para"", ""Vivir"", ""Polos"", ""desarrollo"", ""pasos a desnivel"", ""movilidad urbana"", ""aerometro"", ""Transmetro"", ""metroriel"", ""Plan 2032"", ""transporte público"", ""reciclaje"", ""movilidad""]",La Municipalidad de Guatemala trabaja en el plan 2032 con proyectos para solventar los actuales y futuros desafíos de la Ciudad.,36,https://www.youtube.com/watch?v=lj983NWyAQY
n8iP75gIpmw,Ugw4C1ijI36l6LAiSZh4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@lizardomorataya8274,UCDIMztpVm7G27qBuiWuT6oQ,LADRONES !!!!,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@lizardomorataya8274,hace 2 años, ,0,False,,@lizardomorataya8274,Quorum,Qué rico come tu diputado,@quorumgt/videos,channel,@lizardomorataya8274,@lizardomorataya8274,,True,0,0,False,False,hace 2 años,1 - 2 anos,730.5,LADRONES !!!!,ladron,ladrones,[],[],[],[],0,0,0,0,LADRONES !!!,13,6,2,1,True,False,Qué rico come tu diputado,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,/@quorumgt,/@quorumgt,News & Politics,Quorum GT,topic,11775,2024-08-27T14:09:51-07:00,2024-08-27 21:09:51+00:00,[],[],"En @ConCriteriogt hablaron hoy sobre nuestro reportaje ""Qué rico come tu diputado"", en el que contamos los almuerzos más caros pagados con fondos públicos entre enero y abril de este año.

Entrevistaron al diputado Nery Rodas, de CABAL, quien asegura que son problemas ""mínimos"".

Si no has leído el repor podés hacerlo acá https://quorum.gt/poder/comida_diputados/",0,https://www.youtube.com/watch?v=n8iP75gIpmw
