source,target,source_raw_id,target_raw_id,weight,significado_peso,source_label,target_label
A:UCbrtvygfRT6QXqWDNrOf-cA,A:UCvcu1kR8xMYy_I1Ty-2mV2Q,UCbrtvygfRT6QXqWDNrOf-cA,UCvcu1kR8xMYy_I1Ty-2mV2Q,2,numero de videos compartidos por los dos autores,@Alejandro00710,@hashojea7348
A:UCpsKOkt5iWTbenzeuq7dsmQ,A:UCylqlpsh8ENNM1LqgQ1KbxA,UCpsKOkt5iWTbenzeuq7dsmQ,UCylqlpsh8ENNM1LqgQ1KbxA,2,numero de videos compartidos por los dos autores,@inge_vergueta,@Jel.Awesh.M
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UC-Iul5tDYH_oiAMXQH-KaaQ,UC-HeUTT6_g-VoiWds2a4H-w,UC-Iul5tDYH_oiAMXQH-KaaQ,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@AlbertoMancilla-p9h
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UC0HvfEWozTHbwl_iEmJNvVA,UC-HeUTT6_g-VoiWds2a4H-w,UC0HvfEWozTHbwl_iEmJNvVA,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@OttoPalencia-b7r
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UC14qlobYKqD-DO0j6b75lcA,UC-HeUTT6_g-VoiWds2a4H-w,UC14qlobYKqD-DO0j6b75lcA,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@megavision4488
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UC1NiEdJ7gk6FlDexIalWnGg,UC-HeUTT6_g-VoiWds2a4H-w,UC1NiEdJ7gk6FlDexIalWnGg,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@BorisTebalán
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UC3YpzAr7pcdKC7BVFEpYzog,UC-HeUTT6_g-VoiWds2a4H-w,UC3YpzAr7pcdKC7BVFEpYzog,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@carmenfigueroa1232
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UC63tFvbQ_hJhGDi2nbjssjw,UC-HeUTT6_g-VoiWds2a4H-w,UC63tFvbQ_hJhGDi2nbjssjw,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@AbigailRodas-w2r
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCEHXl4VvvVpq-_4xC5tsbhg,UC-HeUTT6_g-VoiWds2a4H-w,UCEHXl4VvvVpq-_4xC5tsbhg,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@anibalg47
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCFybmWapGvBKcQod7cPPH9w,UC-HeUTT6_g-VoiWds2a4H-w,UCFybmWapGvBKcQod7cPPH9w,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@vitalianochavez8382
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCRfkkatKrNtAARnXMMYBGlA,UC-HeUTT6_g-VoiWds2a4H-w,UCRfkkatKrNtAARnXMMYBGlA,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@BernerSoza-mg3vx
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCV3fr-YOixFKCZBbJP1-X4w,UC-HeUTT6_g-VoiWds2a4H-w,UCV3fr-YOixFKCZBbJP1-X4w,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@albertoshernandez5251
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCWaRixDdpgllTBf4V0jPnKQ,UC-HeUTT6_g-VoiWds2a4H-w,UCWaRixDdpgllTBf4V0jPnKQ,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@hectormaaz5523
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCWvntqPQx99k_Z_skWKqNSA,UC-HeUTT6_g-VoiWds2a4H-w,UCWvntqPQx99k_Z_skWKqNSA,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@AntonioChiyal-x5s
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCZFQwqh90apuL8eFhvRBkUg,UC-HeUTT6_g-VoiWds2a4H-w,UCZFQwqh90apuL8eFhvRBkUg,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@luisricardo9671
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCa36MjQLoPAmgJo-R3G8WQA,UC-HeUTT6_g-VoiWds2a4H-w,UCa36MjQLoPAmgJo-R3G8WQA,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@elsasalguero6914
