node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,degree,strength,n_comentarios_observados,n_videos_comentados
A:UCpsKOkt5iWTbenzeuq7dsmQ,UCpsKOkt5iWTbenzeuq7dsmQ,author,@inge_vergueta,@inge_vergueta,,,,,,183,184,3,3
A:UCylqlpsh8ENNM1LqgQ1KbxA,UCylqlpsh8ENNM1LqgQ1KbxA,author,@Jel.Awesh.M,@Jel.Awesh.M,,,,,,174,175,3,2
A:UCHTGCgY2l-DQJIvlA_cpa_Q,UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,@virgiliogarcia3039,,,,,,145,145,3,2
A:UCsUCN0Yq_UyTvKjOJLmNrnQ,UCsUCN0Yq_UyTvKjOJLmNrnQ,author,@moisesvaldez4043,@moisesvaldez4043,,,,,,133,133,2,2
A:UC-pNP6RMFuLg_-x7Ah_0kEA,UC-pNP6RMFuLg_-x7Ah_0kEA,author,@almacatalan2717,@almacatalan2717,,,,,,127,127,1,1
A:UC-jS_kA9w-OmpupXDx156Rg,UC-jS_kA9w-OmpupXDx156Rg,author,@simoncreyesc7579,@simoncreyesc7579,,,,,,127,127,1,1
A:UCzoL2l5H5eVlorWGH8AZfAg,UCzoL2l5H5eVlorWGH8AZfAg,author,@jor77cas,@jor77cas,,,,,,127,127,1,1
A:UCzSfZlOVxBSs5ObD25ywxDQ,UCzSfZlOVxBSs5ObD25ywxDQ,author,@GilmarMaldonado-q9m,@GilmarMaldonado-q9m,,,,,,127,127,1,1
A:UCrJn_rbo_ENAdeqneS-RmRw,UCrJn_rbo_ENAdeqneS-RmRw,author,@josecarrera9623,@josecarrera9623,,,,,,127,127,2,1
A:UCsJJAvrVGupdmhOqgtDp8dg,UCsJJAvrVGupdmhOqgtDp8dg,author,@nestorlorenzana1168,@nestorlorenzana1168,,,,,,127,127,1,1
A:UCtUR3_CAiE7fCoZHM6cMfyQ,UCtUR3_CAiE7fCoZHM6cMfyQ,author,@mdelcid01,@mdelcid01,,,,,,127,127,1,1
A:UCr1emrogPKkKTs_WTtx71xg,UCr1emrogPKkKTs_WTtx71xg,author,@domingopeneleu6457,@domingopeneleu6457,,,,,,127,127,1,1
A:UCsSXdJct-nsS8DsABoEsaYA,UCsSXdJct-nsS8DsABoEsaYA,author,@IvánPérez-j4j,@IvánPérez-j4j,,,,,,127,127,1,1
A:UCplrIQtaPj6au60_f2-mOYw,UCplrIQtaPj6au60_f2-mOYw,author,@romeolopezherrarte799,@romeolopezherrarte799,,,,,,127,127,1,1
A:UCz3gu01bmjNv0DpRq-K3XYg,UCz3gu01bmjNv0DpRq-K3XYg,author,@eusebiovasquez4385,@eusebiovasquez4385,,,,,,127,127,2,1
A:UC-hfX8J5JPJ-dfuakzegMLA,UC-hfX8J5JPJ-dfuakzegMLA,author,@normaleticiaorozcojuarez2418,@normaleticiaorozcojuarez2418,,,,,,127,127,1,1
A:UC72gBAtyb_VXQlYDcFrh6oQ,UC72gBAtyb_VXQlYDcFrh6oQ,author,@osmanmorales3012,@osmanmorales3012,,,,,,127,127,3,1
A:UC6YSZqL0vEcI-niPKIMUGfw,UC6YSZqL0vEcI-niPKIMUGfw,author,@maxwellsales885,@maxwellsales885,,,,,,127,127,1,1
A:UC6PvO1_k5lHKGdAPo5_C6TA,UC6PvO1_k5lHKGdAPo5_C6TA,author,@johnmejia992,@johnmejia992,,,,,,127,127,1,1
A:UCpl8rF8uv_8uui-QRvuJaRA,UCpl8rF8uv_8uui-QRvuJaRA,author,@SergioGarcia-z9c,@SergioGarcia-z9c,,,,,,127,127,1,1
A:UCmvOgzmmXbjUthHy-WJ52hQ,UCmvOgzmmXbjUthHy-WJ52hQ,author,@mariorodas593,@mariorodas593,,,,,,127,127,1,1
A:UCB5p8a5gklc80jJItP6xTHg,UCB5p8a5gklc80jJItP6xTHg,author,@ernestogamboa8737,@ernestogamboa8737,,,,,,127,127,1,1
A:UCpIdtvoFHVLGASGB5ySqIEA,UCpIdtvoFHVLGASGB5ySqIEA,author,@VidalVillatoro-p4w,@VidalVillatoro-p4w,,,,,,127,127,1,1
A:UCp4iw5_5SmV9VGTFSNVGOmQ,UCp4iw5_5SmV9VGTFSNVGOmQ,author,@CARLOSSTREMS51,@CARLOSSTREMS51,,,,,,127,127,1,1
A:UC9vMq1YF-e7C-VO0SHkbUTA,UC9vMq1YF-e7C-VO0SHkbUTA,author,@ErvinLeonardoCarreraLatín,@ErvinLeonardoCarreraLatín,,,,,,127,127,4,1
A:UCDIMztpVm7G27qBuiWuT6oQ,UCDIMztpVm7G27qBuiWuT6oQ,author,@lizardomorataya8274,@lizardomorataya8274,,,,,,127,127,1,1
A:UC9xr9QvIcDvoZNUX5f-jaZw,UC9xr9QvIcDvoZNUX5f-jaZw,author,@MariaaliciaColonmorales,@MariaaliciaColonmorales,,,,,,127,127,1,1
A:UCCaYwkkbQGcvFoUmothVdQQ,UCCaYwkkbQGcvFoUmothVdQQ,author,@OsvaldoAguirre-l3i,@OsvaldoAguirre-l3i,,,,,,127,127,1,1
A:UC7VUuJr9cGh845CmTvf7TlQ,UC7VUuJr9cGh845CmTvf7TlQ,author,@LuisCastillo-oz4df,@LuisCastillo-oz4df,,,,,,127,127,1,1
A:UCAmtbUiIrUIhikru0ZoTFig,UCAmtbUiIrUIhikru0ZoTFig,author,@Aura-vf6dm,@Aura-vf6dm,,,,,,127,127,1,1
A:UCAlzM_N6xBlMYmM8EBzX86Q,UCAlzM_N6xBlMYmM8EBzX86Q,author,@carlossoto3252,@carlossoto3252,,,,,,127,127,1,1
A:UCA93ym2TXs_Ibyxb4Vcn-6Q,UCA93ym2TXs_Ibyxb4Vcn-6Q,author,@oswaldosolis8728,@oswaldosolis8728,,,,,,127,127,1,1
A:UC8F2V63KZ4ZEay6opX2hAQw,UC8F2V63KZ4ZEay6opX2hAQw,author,@carmenr6311,@carmenr6311,,,,,,127,127,1,1
A:UC650pRT-OYzny3GwOH8Cgfw,UC650pRT-OYzny3GwOH8Cgfw,author,@edvinparedesherrera7632,@edvinparedesherrera7632,,,,,,127,127,1,1
A:UC8r11yOugM2NuRfitQOxLLg,UC8r11yOugM2NuRfitQOxLLg,author,@cesaraugustomoralesmonroy6907,@cesaraugustomoralesmonroy6907,,,,,,127,127,1,1
