node_id,raw_id,node_type,bipartite_set,display_name,handle,channel_id,channel_name,category,source_query,source_group,view_count,degree,strength,n_comentarios_observados,n_videos_comentados,n_canales_comentados,n_autores_observados,me_gusta_recibidos,respuestas_recibidas,largo_medio_comentario
A:UCi2KiZq63sRq8Mfbcp-MelQ,UCi2KiZq63sRq8Mfbcp-MelQ,author,0,@eugeneramirez4405,@eugeneramirez4405,,,,,,,1,6,6,1,1,0,1,0,55.8
A:UCyJhqmMbsvjpoarBBStA2kg,UCyJhqmMbsvjpoarBBStA2kg,author,0,@Murmullodelbarrio,@Murmullodelbarrio,,,,,,,1,6,6,1,1,0,14,0,105.3
A:UC5H8ASmMC9WrURmzeB4ySog,UC5H8ASmMC9WrURmzeB4ySog,author,0,@ManuelEdran,@ManuelEdran,,,,,,,1,5,5,1,1,0,6,0,45.4
A:UCV3fr-YOixFKCZBbJP1-X4w,UCV3fr-YOixFKCZBbJP1-X4w,author,0,@albertoshernandez5251,@albertoshernandez5251,,,,,,,1,5,5,1,1,0,17,0,137.2
A:UC9vMq1YF-e7C-VO0SHkbUTA,UC9vMq1YF-e7C-VO0SHkbUTA,author,0,@ErvinLeonardoCarreraLatín,@ErvinLeonardoCarreraLatín,,,,,,,1,4,4,1,1,0,0,0,92.2
A:UCvcu1kR8xMYy_I1Ty-2mV2Q,UCvcu1kR8xMYy_I1Ty-2mV2Q,author,0,@hashojea7348,@hashojea7348,,,,,,,3,4,4,3,1,0,0,0,41.5
A:UC3XTwHxygNCgjndsg-UiCQA,UC3XTwHxygNCgjndsg-UiCQA,author,0,@marioajset4283,@marioajset4283,,,,,,,1,3,3,1,1,0,2,0,116.7
A:UC72gBAtyb_VXQlYDcFrh6oQ,UC72gBAtyb_VXQlYDcFrh6oQ,author,0,@osmanmorales3012,@osmanmorales3012,,,,,,,1,3,3,1,1,0,19,0,47.3
A:UCFjudnPLoaSL1BaRuLahyHg,UCFjudnPLoaSL1BaRuLahyHg,author,0,@HaroldoCastillo-rh9iw,@HaroldoCastillo-rh9iw,,,,,,,1,3,3,1,1,0,3,0,55.3
A:UCHTGCgY2l-DQJIvlA_cpa_Q,UCHTGCgY2l-DQJIvlA_cpa_Q,author,0,@virgiliogarcia3039,@virgiliogarcia3039,,,,,,,2,3,3,2,2,0,14,0,199.0
A:UCNIeXbV_mEwpa412h1aqUWw,UCNIeXbV_mEwpa412h1aqUWw,author,0,@juandeleon9060,@juandeleon9060,,,,,,,1,3,3,1,1,0,3,1,67.3
A:UCg3eIfd7BrsLEqS0BLkftHA,UCg3eIfd7BrsLEqS0BLkftHA,author,0,@ErmePérez-q4s,@ErmePérez-q4s,,,,,,,1,3,3,1,1,0,0,0,114.7
A:UCh5ESQvtzyHDhCA7XyekCFA,UCh5ESQvtzyHDhCA7XyekCFA,author,0,@andyB5280,@andyB5280,,,,,,,1,3,3,1,1,0,4,0,93.0
A:UChs3tU2BcKOT0CezykvAsGw,UChs3tU2BcKOT0CezykvAsGw,author,0,@byronpontaza,@byronpontaza,,,,,,,1,3,3,1,1,0,4,0,160.7
A:UCpsKOkt5iWTbenzeuq7dsmQ,UCpsKOkt5iWTbenzeuq7dsmQ,author,0,@inge_vergueta,@inge_vergueta,,,,,,,3,3,3,3,1,0,4,0,91.0
A:UCylqlpsh8ENNM1LqgQ1KbxA,UCylqlpsh8ENNM1LqgQ1KbxA,author,0,@Jel.Awesh.M,@Jel.Awesh.M,,,,,,,2,3,3,2,1,0,1,0,49.0
A:UC-QOpE7GOxlXcHZ8b7HbQKA,UC-QOpE7GOxlXcHZ8b7HbQKA,author,0,@mariaalexander427,@mariaalexander427,,,,,,,1,2,2,1,1,0,0,0,119.0
A:UC7IMsCxfZyWN7YQo8-JYa6Q,UC7IMsCxfZyWN7YQo8-JYa6Q,author,0,@Burgos68,@Burgos68,,,,,,,1,2,2,1,1,0,1,0,363.5
A:UCAxvOOHQk7dYPOajzFEVtbA,UCAxvOOHQk7dYPOajzFEVtbA,author,0,@ruddydepaz322,@ruddydepaz322,,,,,,,1,2,2,1,1,0,0,0,109.5
A:UCBlm80VQ4YoV3bUJR_XhkaQ,UCBlm80VQ4YoV3bUJR_XhkaQ,author,0,@rosadiaz6945,@rosadiaz6945,,,,,,,1,2,2,1,1,0,0,3,58.5
A:UCHhHUjaMAZ8SiXdCUCj9DkQ,UCHhHUjaMAZ8SiXdCUCj9DkQ,author,0,@fredymendez1786,@fredymendez1786,,,,,,,1,2,2,1,1,0,3,0,257.0
A:UCL13XhnRzbGokEkCkEOb0-g,UCL13XhnRzbGokEkCkEOb0-g,author,0,@raquelprado3643,@raquelprado3643,,,,,,,1,2,2,1,1,0,8,0,72.0
A:UCLFdHr9BEbXHkoJopbEPLZw,UCLFdHr9BEbXHkoJopbEPLZw,author,0,@kanterra4584,@kanterra4584,,,,,,,1,2,2,1,1,0,24,0,153.5
A:UCLggDc_a5HriXv7I1h02sOA,UCLggDc_a5HriXv7I1h02sOA,author,0,@guillermogonzalez5153,@guillermogonzalez5153,,,,,,,1,2,2,1,1,0,7,0,85.0
A:UCNBnKqWf4d-rS4HwJRQljmQ,UCNBnKqWf4d-rS4HwJRQljmQ,author,0,@LE_A22,@LE_A22,,,,,,,1,2,2,1,1,0,1,0,298.0
A:UCOLGv5Pf6BF2wFcwUzgcvHg,UCOLGv5Pf6BF2wFcwUzgcvHg,author,0,@welfrealdana5559,@welfrealdana5559,,,,,,,1,2,2,1,1,0,4,0,125.5
A:UCQ_-LPP8JAbfkc-b1Q6NvWw,UCQ_-LPP8JAbfkc-b1Q6NvWw,author,0,@MegaKristenstewart,@MegaKristenstewart,,,,,,,1,2,2,1,1,0,31,0,82.0
A:UCQtICyzWmhC5woCtbNgaSmg,UCQtICyzWmhC5woCtbNgaSmg,author,0,@nestormendez6216,@nestormendez6216,,,,,,,1,2,2,1,1,0,5,0,140.0
A:UCVC2QugcI1G4RvlCiUqd1aQ,UCVC2QugcI1G4RvlCiUqd1aQ,author,0,@rwdm76,@rwdm76,,,,,,,1,2,2,1,1,0,0,0,9.0
A:UCWaRixDdpgllTBf4V0jPnKQ,UCWaRixDdpgllTBf4V0jPnKQ,author,0,@hectormaaz5523,@hectormaaz5523,,,,,,,1,2,2,1,1,0,0,0,228.0
A:UCXXh7yg5KUFIWylTiKVEFKQ,UCXXh7yg5KUFIWylTiKVEFKQ,author,0,@MrDuenderojo,@MrDuenderojo,,,,,,,1,2,2,1,1,0,2,0,83.0
A:UCbrtvygfRT6QXqWDNrOf-cA,UCbrtvygfRT6QXqWDNrOf-cA,author,0,@Alejandro00710,@Alejandro00710,,,,,,,2,2,2,2,1,0,0,0,130.0
A:UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,author,0,@MarcosCarillo-b1r,@MarcosCarillo-b1r,,,,,,,2,2,2,2,2,0,0,1,73.5
A:UCi1b_TRQfgO1Z9O2gNGGWNA,UCi1b_TRQfgO1Z9O2gNGGWNA,author,0,@davidisraelesquitsaquil,@davidisraelesquitsaquil,,,,,,,1,2,2,1,1,0,0,0,470.0
A:UCjZgFEowMBrsjodqfovzdKw,UCjZgFEowMBrsjodqfovzdKw,author,0,@franciscoflores3120,@franciscoflores3120,,,,,,,2,2,2,2,2,0,0,0,35.5
A:UCkd9W714-947dEE6ZOEBATA,UCkd9W714-947dEE6ZOEBATA,author,0,@ARGELIATELON,@ARGELIATELON,,,,,,,1,2,2,1,1,0,3,0,229.0
A:UCoGdCoJg2Lh0OX_jv6cG16g,UCoGdCoJg2Lh0OX_jv6cG16g,author,0,@Israel-u5i7i,@Israel-u5i7i,,,,,,,1,2,2,1,1,0,2,0,38.0
A:UCp29O_C7cchZV8IxV7Crdag,UCp29O_C7cchZV8IxV7Crdag,author,0,@robertoescobar5507,@robertoescobar5507,,,,,,,1,2,2,1,1,0,0,0,36.0
A:UCrJn_rbo_ENAdeqneS-RmRw,UCrJn_rbo_ENAdeqneS-RmRw,author,0,@josecarrera9623,@josecarrera9623,,,,,,,1,2,2,1,1,0,1,0,152.0
A:UCsUCN0Yq_UyTvKjOJLmNrnQ,UCsUCN0Yq_UyTvKjOJLmNrnQ,author,0,@moisesvaldez4043,@moisesvaldez4043,,,,,,,2,2,2,2,2,0,0,0,90.0
A:UCtCtts20bW6F9CSohau51Iw,UCtCtts20bW6F9CSohau51Iw,author,0,@carlosgranados9875,@carlosgranados9875,,,,,,,1,2,2,1,1,0,0,0,160.5
A:UCtNyHmRZtvGF2hSvI2dUBWw,UCtNyHmRZtvGF2hSvI2dUBWw,author,0,@aureliomaldonado4793,@aureliomaldonado4793,,,,,,,1,2,2,1,1,0,1,0,124.0
