source,target,source_raw_id,target_raw_id,weight,significado_peso,source_label,target_label
V:ndAZjHqzzT8,V:yLZS3JiEBg8,ndAZjHqzzT8,yLZS3JiEBg8,2,numero de autores compartidos por los dos videos,Internet: escoger el menos malo,Arroz con pollo a la MONOPOLIO
V:j43HgwYFKfk,V:n8iP75gIpmw,j43HgwYFKfk,n8iP75gIpmw,2,numero de autores compartidos por los dos videos,La cooptación de Walter Mazariegos en la USAC,Qué rico come tu diputado
V:06mFNPU0aB8,V:6W4u8sGEnGM,06mFNPU0aB8,6W4u8sGEnGM,1,numero de autores compartidos por los dos videos,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Inician los trabajos de recuperación del Puente Belice II.
V:PjmxCj-a9Hg,V:n8iP75gIpmw,PjmxCj-a9Hg,n8iP75gIpmw,1,numero de autores compartidos por los dos videos,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Qué rico come tu diputado
V:6W4u8sGEnGM,V:PjmxCj-a9Hg,6W4u8sGEnGM,PjmxCj-a9Hg,1,numero de autores compartidos por los dos videos,Inician los trabajos de recuperación del Puente Belice II.,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
V:WIUZtitfLRw,V:yLZS3JiEBg8,WIUZtitfLRw,yLZS3JiEBg8,1,numero de autores compartidos por los dos videos,Caminar en una ciudad hecha para carros,Arroz con pollo a la MONOPOLIO
V:WIUZtitfLRw,V:ndAZjHqzzT8,WIUZtitfLRw,ndAZjHqzzT8,1,numero de autores compartidos por los dos videos,Caminar en una ciudad hecha para carros,Internet: escoger el menos malo
V:is3Mk5oC19g,V:j43HgwYFKfk,is3Mk5oC19g,j43HgwYFKfk,1,numero de autores compartidos por los dos videos,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,La cooptación de Walter Mazariegos en la USAC
V:b_Hkrkl3adA,V:n8iP75gIpmw,b_Hkrkl3adA,n8iP75gIpmw,1,numero de autores compartidos por los dos videos,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,Qué rico come tu diputado
V:j43HgwYFKfk,V:ndAZjHqzzT8,j43HgwYFKfk,ndAZjHqzzT8,1,numero de autores compartidos por los dos videos,La cooptación de Walter Mazariegos en la USAC,Internet: escoger el menos malo
V:n8iP75gIpmw,V:ndAZjHqzzT8,n8iP75gIpmw,ndAZjHqzzT8,1,numero de autores compartidos por los dos videos,Qué rico come tu diputado,Internet: escoger el menos malo
