red,node_id,raw_id,node_type,display_name,channel_name,degree,strength,componentes_antes,componentes_despues,delta_componentes,componente_mayor_antes,componente_mayor_despues,reduccion_componente_mayor,pct_reduccion_componente_mayor,nodos_aislados_tras_eliminar,es_articulador_verificado
bipartita_autor_video,V:n8iP75gIpmw,n8iP75gIpmw,video,Qué rico come tu diputado,Quorum,128,161,10,136,126,286,88,198,69.23,124,True
bipartita_autor_video,V:j43HgwYFKfk,j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,Quorum,49,50,10,57,47,286,231,55,19.23,46,True
bipartita_autor_video,V:6W4u8sGEnGM,6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,32,45,10,41,31,286,241,45,15.73,30,True
bipartita_autor_video,V:lj983NWyAQY,lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,25,25,10,34,24,286,286,0,0.0,25,True
bipartita_autor_video,V:PjmxCj-a9Hg,PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,19,25,10,28,18,286,222,64,22.38,17,True
bipartita_autor_video,V:OkXlHx0hx-8,OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,18,25,10,27,17,286,286,0,0.0,18,True
bipartita_autor_video,V:yLZS3JiEBg8,yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,Quorum,16,16,10,24,14,286,271,15,5.24,14,True
bipartita_autor_video,V:06mFNPU0aB8,06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,13,14,10,22,12,286,273,13,4.55,12,True
bipartita_autor_video,V:ndAZjHqzzT8,ndAZjHqzzT8,video,Internet: escoger el menos malo,Quorum,10,12,10,18,8,286,255,31,10.84,7,True
bipartita_autor_video,V:b_Hkrkl3adA,b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,7,7,10,16,6,286,279,7,2.45,6,True
bipartita_autor_video,V:is3Mk5oC19g,is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,7,7,10,16,6,286,279,7,2.45,6,True
bipartita_autor_video,V:WIUZtitfLRw,WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,Quorum,6,6,10,15,5,286,280,6,2.1,5,True
bipartita_autor_video,V:TT4qJ5FXHYE,TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,4,4,10,13,3,286,286,0,0.0,4,True
bipartita_autor_video,V:JkpVO1hx2f8,JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,Quorum,3,3,10,12,2,286,286,0,0.0,3,True
bipartita_autor_video,A:UCpsKOkt5iWTbenzeuq7dsmQ,UCpsKOkt5iWTbenzeuq7dsmQ,author,@inge_vergueta,,3,3,10,11,1,286,254,32,11.19,0,True
bipartita_autor_video,A:UCvcu1kR8xMYy_I1Ty-2mV2Q,UCvcu1kR8xMYy_I1Ty-2mV2Q,author,@hashojea7348,,3,4,10,11,1,286,279,7,2.45,0,True
bipartita_autor_video,A:UCHTGCgY2l-DQJIvlA_cpa_Q,UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,,2,3,10,11,1,286,221,65,22.73,0,True
bipartita_autor_video,A:UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,,2,2,10,11,1,286,278,8,2.8,0,True
bipartita_autor_video,A:UCjZgFEowMBrsjodqfovzdKw,UCjZgFEowMBrsjodqfovzdKw,author,@franciscoflores3120,,2,2,10,11,1,286,272,14,4.9,0,True
bipartita_autor_video,A:UCsUCN0Yq_UyTvKjOJLmNrnQ,UCsUCN0Yq_UyTvKjOJLmNrnQ,author,@moisesvaldez4043,,2,2,10,11,1,286,278,8,2.8,0,True
bipartita_autor_video,A:UCzZ6dDCEsLMXbc5pCFXIprw,UCzZ6dDCEsLMXbc5pCFXIprw,author,@josegil3813,,2,2,10,11,1,286,240,46,16.08,0,True
bipartita_autor_video,V:3Nfp9h5avBI,3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,2,2,10,11,1,286,286,0,0.0,2,True
proyeccion_autor_autor,A:UCpsKOkt5iWTbenzeuq7dsmQ,UCpsKOkt5iWTbenzeuq7dsmQ,author,@inge_vergueta,,183,184,10,11,1,276,247,29,10.51,4,True
proyeccion_autor_autor,A:UCHTGCgY2l-DQJIvlA_cpa_Q,UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,,145,145,10,11,1,276,214,62,22.46,4,True
proyeccion_autor_autor,A:UCsUCN0Yq_UyTvKjOJLmNrnQ,UCsUCN0Yq_UyTvKjOJLmNrnQ,author,@moisesvaldez4043,,133,133,10,11,1,276,269,7,2.54,4,True
proyeccion_autor_autor,A:UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,,54,54,10,11,1,276,269,7,2.54,4,True
proyeccion_autor_autor,A:UCzZ6dDCEsLMXbc5pCFXIprw,UCzZ6dDCEsLMXbc5pCFXIprw,author,@josegil3813,,49,49,10,11,1,276,232,44,15.94,4,True
proyeccion_autor_autor,A:UCjZgFEowMBrsjodqfovzdKw,UCjZgFEowMBrsjodqfovzdKw,author,@franciscoflores3120,,43,43,10,11,1,276,263,13,4.71,4,True
proyeccion_autor_autor,A:UCvcu1kR8xMYy_I1Ty-2mV2Q,UCvcu1kR8xMYy_I1Ty-2mV2Q,author,@hashojea7348,,28,29,10,11,1,276,270,6,2.17,4,True
proyeccion_video_video,V:n8iP75gIpmw,n8iP75gIpmw,video,Qué rico come tu diputado,Quorum,4,5,10,12,2,10,5,5,50.0,10,True
proyeccion_video_video,V:ndAZjHqzzT8,ndAZjHqzzT8,video,Internet: escoger el menos malo,Quorum,4,5,10,11,1,10,7,3,30.0,9,True
proyeccion_video_video,V:j43HgwYFKfk,j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,Quorum,3,4,10,11,1,10,8,2,20.0,10,True
proyeccion_video_video,V:6W4u8sGEnGM,6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,2,2,10,11,1,10,8,2,20.0,10,True
proyeccion_video_video,V:PjmxCj-a9Hg,PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,2,2,10,11,1,10,7,3,30.0,9,True
