node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,n_comentarios_observados,n_videos_comentados,n_canales_comentados,degree,degree_centrality,strength,betweenness_ponderada,betweenness_no_ponderada,closeness_wf,harmonic,harmonic_normalizada,pagerank,eigenvector,k_core,clustering_ponderado,componente_id,tamano_de_su_componente,es_punto_articulacion,rank_strength,rank_betweenness,rank_pagerank
A:UCHTGCgY2l-DQJIvlA_cpa_Q,UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,@virgiliogarcia3039,,,,,,3,2,2,145,0.438066,145,0.239019,0.239019,0.51691,203.8333,0.615811,0.00524313,,127,0.39053,0,276,True,3,1,5
A:UCpsKOkt5iWTbenzeuq7dsmQ,UCpsKOkt5iWTbenzeuq7dsmQ,author,@inge_vergueta,@inge_vergueta,,,,,,3,3,1,183,0.55287,184,0.220278,0.220278,0.542051,221.8333,0.670191,0.00733003,,127,0.276534,0,276,True,1,2,1
A:UCzZ6dDCEsLMXbc5pCFXIprw,UCzZ6dDCEsLMXbc5pCFXIprw,author,@josegil3813,@josegil3813,,,,,,2,2,1,49,0.148036,49,0.18266,0.18266,0.372715,145.4167,0.439325,0.00509794,,31,0.262755,0,276,True,130,3,6
A:UCylqlpsh8ENNM1LqgQ1KbxA,UCylqlpsh8ENNM1LqgQ1KbxA,author,@Jel.Awesh.M,@Jel.Awesh.M,,,,,,3,2,1,174,0.52568,175,0.093646,0.093646,0.524625,216.9333,0.655388,0.00572796,,127,0.304763,0,276,False,2,4,3
A:UCjZgFEowMBrsjodqfovzdKw,UCjZgFEowMBrsjodqfovzdKw,author,@franciscoflores3120,@franciscoflores3120,,,,,,2,2,2,43,0.129909,43,0.057786,0.057786,0.274279,114.8333,0.346928,0.00532308,,31,0.29402,0,276,True,177,5,4
A:UCvcu1kR8xMYy_I1Ty-2mV2Q,UCvcu1kR8xMYy_I1Ty-2mV2Q,author,@hashojea7348,@hashojea7348,,,,,,4,3,1,28,0.084592,29,0.057402,0.057402,0.352041,136.3167,0.411833,0.00619358,,15,0.207299,0,276,True,208,6,2
A:UCbrtvygfRT6QXqWDNrOf-cA,UCbrtvygfRT6QXqWDNrOf-cA,author,@Alejandro00710,@Alejandro00710,,,,,,2,2,1,23,0.069486,24,0.032683,0.032683,0.35069,134.65,0.406798,0.00453739,,15,0.289957,0,276,False,209,7,8
A:UCsUCN0Yq_UyTvKjOJLmNrnQ,UCsUCN0Yq_UyTvKjOJLmNrnQ,author,@moisesvaldez4043,@moisesvaldez4043,,,,,,2,2,2,133,0.401813,133,0.029552,0.029552,0.459707,191.6667,0.579053,0.0046807,,127,0.456611,0,276,True,4,8,7
A:UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,author,@MarcosCarillo-b1r,@MarcosCarillo-b1r,,,,,,2,2,2,54,0.163142,54,0.029552,0.029552,0.358672,145.9833,0.441037,0.00441635,,48,0.399462,0,276,True,129,8,9
A:UC-hfX8J5JPJ-dfuakzegMLA,UC-hfX8J5JPJ-dfuakzegMLA,author,@normaleticiaorozcojuarez2418,@normaleticiaorozcojuarez2418,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC-jS_kA9w-OmpupXDx156Rg,UC-jS_kA9w-OmpupXDx156Rg,author,@simoncreyesc7579,@simoncreyesc7579,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
