author_channel_id,n_comentarios,n_videos,n_canales,n_me_gusta,n_respuestas_recibidas,author_handle,author_name,len_medio
UCvcu1kR8xMYy_I1Ty-2mV2Q,4,3,1,0,0,@hashojea7348,@hashojea7348,41.5
UCpsKOkt5iWTbenzeuq7dsmQ,3,3,1,4,0,@inge_vergueta,@inge_vergueta,91.0
UCHTGCgY2l-DQJIvlA_cpa_Q,3,2,2,14,0,@virgiliogarcia3039,@virgiliogarcia3039,199.0
UCylqlpsh8ENNM1LqgQ1KbxA,3,2,1,1,0,@Jel.Awesh.M,@Jel.Awesh.M,49.0
UCbrtvygfRT6QXqWDNrOf-cA,2,2,1,0,0,@Alejandro00710,@Alejandro00710,130.0
UCdFlugHJJa4l3YqWuNRmvXw,2,2,2,0,1,@MarcosCarillo-b1r,@MarcosCarillo-b1r,73.5
UCjZgFEowMBrsjodqfovzdKw,2,2,2,0,0,@franciscoflores3120,@franciscoflores3120,35.5
UCsUCN0Yq_UyTvKjOJLmNrnQ,2,2,2,0,0,@moisesvaldez4043,@moisesvaldez4043,90.0
UCzZ6dDCEsLMXbc5pCFXIprw,2,2,1,0,0,@josegil3813,@josegil3813,103.0
UCi2KiZq63sRq8Mfbcp-MelQ,6,1,1,1,0,@eugeneramirez4405,@eugeneramirez4405,55.8
UCyJhqmMbsvjpoarBBStA2kg,6,1,1,14,0,@Murmullodelbarrio,@Murmullodelbarrio,105.3
UC5H8ASmMC9WrURmzeB4ySog,5,1,1,6,0,@ManuelEdran,@ManuelEdran,45.4
UCV3fr-YOixFKCZBbJP1-X4w,5,1,1,17,0,@albertoshernandez5251,@albertoshernandez5251,137.2
UC9vMq1YF-e7C-VO0SHkbUTA,4,1,1,0,0,@ErvinLeonardoCarreraLatín,@ErvinLeonardoCarreraLatín,92.2
UC3XTwHxygNCgjndsg-UiCQA,3,1,1,2,0,@marioajset4283,@marioajset4283,116.7
UC72gBAtyb_VXQlYDcFrh6oQ,3,1,1,19,0,@osmanmorales3012,@osmanmorales3012,47.3
UCFjudnPLoaSL1BaRuLahyHg,3,1,1,3,0,@HaroldoCastillo-rh9iw,@HaroldoCastillo-rh9iw,55.3
UCNIeXbV_mEwpa412h1aqUWw,3,1,1,3,1,@juandeleon9060,@juandeleon9060,67.3
UCg3eIfd7BrsLEqS0BLkftHA,3,1,1,0,0,@ErmePérez-q4s,@ErmePérez-q4s,114.7
UCh5ESQvtzyHDhCA7XyekCFA,3,1,1,4,0,@andyB5280,@andyB5280,93.0
UChs3tU2BcKOT0CezykvAsGw,3,1,1,4,0,@byronpontaza,@byronpontaza,160.7
UC-QOpE7GOxlXcHZ8b7HbQKA,2,1,1,0,0,@mariaalexander427,@mariaalexander427,119.0
UC7IMsCxfZyWN7YQo8-JYa6Q,2,1,1,1,0,@Burgos68,@Burgos68,363.5
UCAxvOOHQk7dYPOajzFEVtbA,2,1,1,0,0,@ruddydepaz322,@ruddydepaz322,109.5
UCBlm80VQ4YoV3bUJR_XhkaQ,2,1,1,0,3,@rosadiaz6945,@rosadiaz6945,58.5
UCHhHUjaMAZ8SiXdCUCj9DkQ,2,1,1,3,0,@fredymendez1786,@fredymendez1786,257.0
UCL13XhnRzbGokEkCkEOb0-g,2,1,1,8,0,@raquelprado3643,@raquelprado3643,72.0
UCLFdHr9BEbXHkoJopbEPLZw,2,1,1,24,0,@kanterra4584,@kanterra4584,153.5
UCLggDc_a5HriXv7I1h02sOA,2,1,1,7,0,@guillermogonzalez5153,@guillermogonzalez5153,85.0
UCNBnKqWf4d-rS4HwJRQljmQ,2,1,1,1,0,@LE_A22,@LE_A22,298.0
UCOLGv5Pf6BF2wFcwUzgcvHg,2,1,1,4,0,@welfrealdana5559,@welfrealdana5559,125.5
UCQ_-LPP8JAbfkc-b1Q6NvWw,2,1,1,31,0,@MegaKristenstewart,@MegaKristenstewart,82.0
UCQtICyzWmhC5woCtbNgaSmg,2,1,1,5,0,@nestormendez6216,@nestormendez6216,140.0
UCVC2QugcI1G4RvlCiUqd1aQ,2,1,1,0,0,@rwdm76,@rwdm76,9.0
UCWaRixDdpgllTBf4V0jPnKQ,2,1,1,0,0,@hectormaaz5523,@hectormaaz5523,228.0
UCXXh7yg5KUFIWylTiKVEFKQ,2,1,1,2,0,@MrDuenderojo,@MrDuenderojo,83.0
UCi1b_TRQfgO1Z9O2gNGGWNA,2,1,1,0,0,@davidisraelesquitsaquil,@davidisraelesquitsaquil,470.0
UCkd9W714-947dEE6ZOEBATA,2,1,1,3,0,@ARGELIATELON,@ARGELIATELON,229.0
UCoGdCoJg2Lh0OX_jv6cG16g,2,1,1,2,0,@Israel-u5i7i,@Israel-u5i7i,38.0
UCp29O_C7cchZV8IxV7Crdag,2,1,1,0,0,@robertoescobar5507,@robertoescobar5507,36.0
UCrJn_rbo_ENAdeqneS-RmRw,2,1,1,1,0,@josecarrera9623,@josecarrera9623,152.0
UCtCtts20bW6F9CSohau51Iw,2,1,1,0,0,@carlosgranados9875,@carlosgranados9875,160.5
UCtNyHmRZtvGF2hSvI2dUBWw,2,1,1,1,0,@aureliomaldonado4793,@aureliomaldonado4793,124.0
UCut6b9S98nv84cVX89PmKzA,2,1,1,1,0,@yeniferaguirre4498,@yeniferaguirre4498,330.5
UCwW2OFy95P7ZBkOPxWkpvYg,2,1,1,2,0,@TeresaLucero-b5o,@TeresaLucero-b5o,39.0
UCz3gu01bmjNv0DpRq-K3XYg,2,1,1,2,0,@eusebiovasquez4385,@eusebiovasquez4385,46.5
UC-HeUTT6_g-VoiWds2a4H-w,1,1,1,0,0,@JorgeMunoz-gd9et,@JorgeMunoz-gd9et,116.0
UC-Iul5tDYH_oiAMXQH-KaaQ,1,1,1,1,0,@AlbertoMancilla-p9h,@AlbertoMancilla-p9h,188.0
UC-fiZBS5Gp1eCJd9ucgWnCg,1,1,1,6,0,@Tommii.10,@Tommii.10,168.0
