source,target,source_type,target_type,source_raw_id,target_raw_id,weight,significado_peso,me_gusta_en_esos_comentarios,respuestas_recibidas_en_esos_comentarios,comment_ids,source_label,target_label
A:UCi2KiZq63sRq8Mfbcp-MelQ,V:OkXlHx0hx-8,author,video,UCi2KiZq63sRq8Mfbcp-MelQ,OkXlHx0hx-8,6,numero de comentarios observados del autor en el video,1,0,Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL|Ugx90cmhNaRBNDou1BR4AaABAg.AaA5Ej9IqgQAaBaWPRQg7K|Ugx90cmhNaRBNDou1BR4AaABAg.AaA5Ej9IqgQAaCz3GqqPAJ|UgxWzoHDeFfVC7jrjzF4AaABAg.Aa9DdH5avRRAaB_gLYRAuw|UgzRlz8OqalaHh8EnUl4AaABAg.Aa9hqaKl_ywAaB_OUjpKKh|Ugzfc9D5wlSKYgY5Jrh4AaABAg.Aa9bbFyRF_AAaB_C3DtL_L,@eugeneramirez4405,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
A:UCyJhqmMbsvjpoarBBStA2kg,V:6W4u8sGEnGM,author,video,UCyJhqmMbsvjpoarBBStA2kg,6W4u8sGEnGM,6,numero de comentarios observados del autor en el video,14,0,UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zX0eQk5DZ|UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zXHoAX3hj|UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zXUuRIq0q|UgyHIuxG8A2lYDRB6vh4AaABAg.A_zEyCTHfWFA_zWovudn2B|UgzMXsCXt9Lh-tk3fZd4AaABAg.A_zGMKwFBhPA_zWhjiGKb7|UgzpHaLJJjoD9FnKO6p4AaABAg,@Murmullodelbarrio,Inician los trabajos de recuperación del Puente Belice II.
A:UC5H8ASmMC9WrURmzeB4ySog,V:n8iP75gIpmw,author,video,UC5H8ASmMC9WrURmzeB4ySog,n8iP75gIpmw,5,numero de comentarios observados del autor en el video,6,0,UgwJMFYT7I9czw_oa0V4AaABAg|Ugx2LwWBVc3mFGJAinB4AaABAg|Ugx7ezRwB-DpY3VQt754AaABAg|UgyisqlInC7oBNbU95Z4AaABAg|UgzaTUgOy4ekC0xQoFt4AaABAg,@ManuelEdran,Qué rico come tu diputado
A:UCV3fr-YOixFKCZBbJP1-X4w,V:6W4u8sGEnGM,author,video,UCV3fr-YOixFKCZBbJP1-X4w,6W4u8sGEnGM,5,numero de comentarios observados del autor en el video,17,0,Ugwc0TMrFYylioxh_Sh4AaABAg|UgwgSP2G2qKwGGl5CSp4AaABAg|UgxPHo503SIH-EmlR-t4AaABAg|UgxdfjiT5_VBaeADj7h4AaABAg|Ugy6Qii72nfxIpYyuCR4AaABAg,@albertoshernandez5251,Inician los trabajos de recuperación del Puente Belice II.
A:UC9vMq1YF-e7C-VO0SHkbUTA,V:n8iP75gIpmw,author,video,UC9vMq1YF-e7C-VO0SHkbUTA,n8iP75gIpmw,4,numero de comentarios observados del autor en el video,0,0,UgwiGxmosawIyTVTjnB4AaABAg|UgyfMf4MkQsDKavjbLV4AaABAg|Ugyyx5lXrgFXsraCIMh4AaABAg|UgzSu6dFpC7PrEYl7AF4AaABAg,@ErvinLeonardoCarreraLatín,Qué rico come tu diputado
A:UC3XTwHxygNCgjndsg-UiCQA,V:n8iP75gIpmw,author,video,UC3XTwHxygNCgjndsg-UiCQA,n8iP75gIpmw,3,numero de comentarios observados del autor en el video,2,0,UgwpY9PE_PBfwa2_g_N4AaABAg|Ugy4utoHlyokVSeSi5h4AaABAg|UgzcJTEHjaN8bEV8Hfd4AaABAg,@marioajset4283,Qué rico come tu diputado
A:UC72gBAtyb_VXQlYDcFrh6oQ,V:n8iP75gIpmw,author,video,UC72gBAtyb_VXQlYDcFrh6oQ,n8iP75gIpmw,3,numero de comentarios observados del autor en el video,19,0,Ugx7j6oWhgfonHPJCdR4AaABAg|UgxR0AXNH_3DGn-T1494AaABAg|UgzmBKXDgncBFsDjRwd4AaABAg,@osmanmorales3012,Qué rico come tu diputado
A:UCFjudnPLoaSL1BaRuLahyHg,V:n8iP75gIpmw,author,video,UCFjudnPLoaSL1BaRuLahyHg,n8iP75gIpmw,3,numero de comentarios observados del autor en el video,3,0,UgwYTL5-XYvmQxsC3Bt4AaABAg|Ugx74OPnWkWaFjpFuA94AaABAg.A7ki-1ED5b2A7nIcG2_svP|Ugy__nsWCBggw9EzOUd4AaABAg.A7lbRpGUZoHA7nJxaD37u-,@HaroldoCastillo-rh9iw,Qué rico come tu diputado
A:UCNIeXbV_mEwpa412h1aqUWw,V:PjmxCj-a9Hg,author,video,UCNIeXbV_mEwpa412h1aqUWw,PjmxCj-a9Hg,3,numero de comentarios observados del autor en el video,3,1,UgxNgFkGSE6nct4PF3V4AaABAg|UgxvxNmPMdRuRDptJQN4AaABAg|Ugz26waEPWK6VtsenFZ4AaABAg,@juandeleon9060,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
A:UCg3eIfd7BrsLEqS0BLkftHA,V:PjmxCj-a9Hg,author,video,UCg3eIfd7BrsLEqS0BLkftHA,PjmxCj-a9Hg,3,numero de comentarios observados del autor en el video,0,0,UgyC45vItnUiq1QrUtd4AaABAg.ALgn-KZ7p47ALgvLAMzZ1A|UgyC45vItnUiq1QrUtd4AaABAg.ALgn-KZ7p47ALgwtbYMM1u|UgyC45vItnUiq1QrUtd4AaABAg.ALgn-KZ7p47ALgx6SmnMen,@ErmePérez-q4s,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
A:UCh5ESQvtzyHDhCA7XyekCFA,V:n8iP75gIpmw,author,video,UCh5ESQvtzyHDhCA7XyekCFA,n8iP75gIpmw,3,numero de comentarios observados del autor en el video,4,0,Ugw5E402-fn52PLXFIJ4AaABAg|Ugy7Dk5SDB_d3RFlHU94AaABAg|Ugyuk_4Gq9tbJjGZVRl4AaABAg,@andyB5280,Qué rico come tu diputado
A:UChs3tU2BcKOT0CezykvAsGw,V:n8iP75gIpmw,author,video,UChs3tU2BcKOT0CezykvAsGw,n8iP75gIpmw,3,numero de comentarios observados del autor en el video,4,0,UgwGm1V-_GN1ZPcijdl4AaABAg|Ugwjtq_DUb6ISU-ppsh4AaABAg|Ugyeb8_nptWKXnFXH8F4AaABAg,@byronpontaza,Qué rico come tu diputado
A:UC-QOpE7GOxlXcHZ8b7HbQKA,V:OkXlHx0hx-8,author,video,UC-QOpE7GOxlXcHZ8b7HbQKA,OkXlHx0hx-8,2,numero de comentarios observados del autor en el video,0,0,UgxiEgXuexKPtHEwAQJ4AaABAg.Aa9HLCNywwKAa9ZeEQh7n7|Ugzk5XnOVKoVj8FiOCB4AaABAg,@mariaalexander427,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
A:UC7IMsCxfZyWN7YQo8-JYa6Q,V:PjmxCj-a9Hg,author,video,UC7IMsCxfZyWN7YQo8-JYa6Q,PjmxCj-a9Hg,2,numero de comentarios observados del autor en el video,1,0,Ugwvm2HYh08HI1HkcXV4AaABAg|UgySlQlmZmrLAq5JsLx4AaABAg.ALh5XYlqNufALhOuUP3UYB,@Burgos68,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
