author_channel_id,author_handle,author_name,n_comentarios,n_videos_distintos,n_canales_distintos,me_gusta_recibidos,respuestas_recibidas,strength_bipartita,degree_proyeccion_autores,strength_proyeccion_autores,n_comunidades_video_tocadas,comunidades_video_tocadas,videos_comentados,titulos_videos,canales,delta_componentes_al_eliminar,aristas_video_perdidas_al_eliminar,es_puente_verificado,es_recurrente,es_multicanal,es_multicomunidad
UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,@hashojea7348,4,3,1,0,0,4,28,29,1,[2],WIUZtitfLRw|ndAZjHqzzT8|yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO || Caminar en una ciudad hecha para carros || Internet: escoger el menos malo,Quorum,1,2,True,True,False,False
UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,@inge_vergueta,3,3,1,4,0,3,183,184,2,"[0, 2]",j43HgwYFKfk|n8iP75gIpmw|ndAZjHqzzT8,Internet: escoger el menos malo || La cooptación de Walter Mazariegos en la USAC || Qué rico come tu diputado,Quorum,1,2,True,True,False,True
UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,@virgiliogarcia3039,3,2,2,14,0,3,145,145,2,"[0, 1]",PjmxCj-a9Hg|n8iP75gIpmw,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt || Qué rico come tu diputado,Gobierno de la República de Guatemala || Quorum,1,1,True,True,True,True
UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,@MarcosCarillo-b1r,2,2,2,0,1,2,54,54,1,[0],is3Mk5oC19g|j43HgwYFKfk,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu || La cooptación de Walter Mazariegos en la USAC,Quorum || TN23 Guatemala,1,1,True,True,True,False
UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,@franciscoflores3120,2,2,2,0,0,2,43,43,1,[1],06mFNPU0aB8|6W4u8sGEnGM,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto || Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala || Noti7,1,1,True,True,True,False
UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,@moisesvaldez4043,2,2,2,0,0,2,133,133,1,[0],b_Hkrkl3adA|n8iP75gIpmw,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales || Qué rico come tu diputado,PrensaLibreOficial || Quorum,1,1,True,True,True,False
UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,@josegil3813,2,2,1,0,0,2,49,49,1,[1],6W4u8sGEnGM|PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt || Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,1,1,True,True,False,False
UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,@Jel.Awesh.M,3,2,1,1,0,3,174,175,1,[0],j43HgwYFKfk|n8iP75gIpmw,La cooptación de Walter Mazariegos en la USAC || Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,@Alejandro00710,2,2,1,0,0,2,23,24,1,[2],ndAZjHqzzT8|yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO || Internet: escoger el menos malo,Quorum,0,0,False,True,False,False
UCi2KiZq63sRq8Mfbcp-MelQ,@eugeneramirez4405,@eugeneramirez4405,6,1,1,1,0,6,17,17,1,[5],OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,0,0,False,True,False,False
UCyJhqmMbsvjpoarBBStA2kg,@Murmullodelbarrio,@Murmullodelbarrio,6,1,1,14,0,6,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,True,False,False
UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,@ManuelEdran,5,1,1,6,0,5,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCV3fr-YOixFKCZBbJP1-X4w,@albertoshernandez5251,@albertoshernandez5251,5,1,1,17,0,5,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,True,False,False
UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,@ErvinLeonardoCarreraLatín,4,1,1,0,0,4,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,@marioajset4283,3,1,1,2,0,3,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,@osmanmorales3012,3,1,1,19,0,3,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,@HaroldoCastillo-rh9iw,3,1,1,3,0,3,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
