metrica,valor
n_comentarios,406
vacios_antes,0
duplicados_exactos_antes,2
n_textos_duplicados_unicos_antes,2
longitud_media_antes,139.24
longitud_mediana_antes,96.5
tokens_medios_antes,24.06
vacios_despues,10
duplicados_texto_limpio_despues,14
duplicados_texto_limpio_no_vacio,5
textos_modificados,405
textos_sin_modificacion,1
pct_modificados,99.75
longitud_media_despues,72.38
longitud_mediana_despues,52.0
tokens_medios_despues,9.39
reduccion_media_caracteres_pct,48.02
reduccion_media_tokens_pct,60.97
registros_eliminados,0
politica_eliminacion,No se elimina ningun comentario. Los textos que quedan vacios tras la limpieza tematica conservan su texto_original y siguen siendo validos para la red y para el sentimiento; excluirlos sesgaria la red de participacion.
comentarios_con_url,1
comentarios_con_hashtag,1
comentarios_con_mencion,5
comentarios_con_emoji,61
total_emojis,199
comentarios_con_atajo_de_emoji_textual,2
total_atajos_de_emoji_textual,4
nota_atajos_de_emoji,"El CSV crudo contiene atajos de emoji ya convertidos a texto por el recolector (:hand-purple-blue-peace:, :face-blue-smiling:). Se eliminan de texto_limpio porque generarian bigramas inexistentes ('hand purple', 'purple blue') atribuibles al proceso de recoleccion y no a los usuarios. Se conservan en texto_original."
