video_id,n_comentarios,n_autores,n_me_gusta,n_respuestas,len_medio_comentario,title,channel_id,channel_name,category,view_count_final,pct_de_comentarios,pct_acumulado,autores_por_comentario,comentarios_por_1k_vistas
n8iP75gIpmw,161,128,358,3,155.1801242236025,Qué rico come tu diputado,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,11775,39.66,39.66,0.795,13.673
j43HgwYFKfk,50,49,91,0,110.22,La cooptación de Walter Mazariegos en la USAC,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,10156,12.32,51.98,0.98,4.923
6W4u8sGEnGM,45,32,90,11,140.86666666666667,Inician los trabajos de recuperación del Puente Belice II.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,11670,11.08,63.06,0.711,3.856
lj983NWyAQY,25,25,1697,16,101.28,Plan 2032 Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,304089,6.16,69.22,1.0,0.082
PjmxCj-a9Hg,25,19,20,4,159.2,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,3628,6.16,75.38,0.76,6.891
OkXlHx0hx-8,25,18,25,13,93.8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,14200,6.16,81.54,0.72,1.761
yLZS3JiEBg8,16,16,13,0,197.875,Arroz con pollo a la MONOPOLIO,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1954,3.94,85.48,1.0,8.188
06mFNPU0aB8,14,13,12,1,51.714285714285715,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,6692,3.45,88.93,0.929,2.092
ndAZjHqzzT8,12,10,3,1,304.0,Internet: escoger el menos malo,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,717,2.96,91.89,0.833,16.736
is3Mk5oC19g,7,7,0,1,40.0,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,4616,1.72,93.61,1.0,1.516
b_Hkrkl3adA,7,7,1,1,139.14285714285714,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,5469,1.72,95.33,1.0,1.28
WIUZtitfLRw,6,6,1,0,150.0,Caminar en una ciudad hecha para carros,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,422,1.48,96.81,1.0,14.218
TT4qJ5FXHYE,4,4,8,0,141.25,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1075,0.99,97.8,1.0,3.721
JkpVO1hx2f8,3,3,4,0,54.333333333333336,10 Preguntas a un año del Paro Nacional,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,673,0.74,98.54,1.0,4.458
3Nfp9h5avBI,2,2,0,0,74.0,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,News & Politics,573,0.49,99.03,1.0,3.49
X_FAIef8qlE,1,1,0,0,198.0,Cruzando la ciudad a puro Transmetro,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1140,0.25,99.28,1.0,0.877
UhL9y3KUl8E,1,1,2,0,69.0,SHAI WA: la vecina queer de Casa Presidencial,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,1755,0.25,99.53,1.0,0.57
s0eco-BofOs,1,1,0,0,5.0,¿Quiénes pagan más en Centroamérica?,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,220,0.25,99.78,1.0,4.545
zweosulrwA8,1,1,0,0,2.0,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,52,0.25,100.03,1.0,19.231
