comunidad,node_id,video_id,titulo,channel_id,canal,category,source_query,view_count,n_comentarios_observados,n_autores_observados,degree_en_proyeccion,strength_en_proyeccion,es_singleton
0,V:b_Hkrkl3adA,b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,guatemala noticias,5469.0,7,7,1,1,False
0,V:is3Mk5oC19g,is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,guatemala noticias,4616.0,7,7,1,1,False
0,V:j43HgwYFKfk,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt,10156.0,50,49,3,4,False
0,V:n8iP75gIpmw,n8iP75gIpmw,Qué rico come tu diputado,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Quorum GT,11775.0,161,128,4,5,False
1,V:06mFNPU0aB8,06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,guatemala noticias,6692.0,14,13,1,1,False
1,V:6W4u8sGEnGM,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,Gobierno de la República de Guatemala,11670.0,45,32,2,2,False
1,V:PjmxCj-a9Hg,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,@GobiernodeGuatemala,3628.0,25,19,2,2,False
2,V:WIUZtitfLRw,WIUZtitfLRw,Caminar en una ciudad hecha para carros,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,422.0,6,6,2,2,False
2,V:ndAZjHqzzT8,ndAZjHqzzT8,Internet: escoger el menos malo,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,717.0,12,10,4,5,False
2,V:yLZS3JiEBg8,yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,1954.0,16,16,2,3,False
3,V:3Nfp9h5avBI,3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,News & Politics,guatemala noticias,573.0,2,2,0,0,True
4,V:JkpVO1hx2f8,JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,673.0,3,3,0,0,True
5,V:OkXlHx0hx-8,OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,guatemala noticias,14200.0,25,18,0,0,True
6,V:TT4qJ5FXHYE,TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,1075.0,4,4,0,0,True
7,V:UhL9y3KUl8E,UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,1755.0,1,1,0,0,True
8,V:X_FAIef8qlE,X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,1140.0,1,1,0,0,True
9,V:lj983NWyAQY,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,Municipalidad de Guatemala,304089.0,25,25,0,0,True
10,V:s0eco-BofOs,s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Quorum GT,220.0,1,1,0,0,True
11,V:zweosulrwA8,zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,@quorumgt,52.0,1,1,0,0,True
