comunidad,n_videos,es_singleton,n_canales,canales,n_comentarios_observados,pct_de_comentarios,n_autores_unicos,n_autores_en_mas_de_un_video_de_la_comunidad,comentarios_por_autor,comentarios_por_video,n_me_gusta,n_respuestas,views_totales,views_medianas,categorias,source_queries,source_groups,aristas_internas,peso_interno_total,densidad_interna,titulos,video_ids
0,4,False,3,PrensaLibreOficial || Quorum || TN23 Guatemala,225,55.42,187,4,1.203,56.25,450,5,32016.0,7812.5,News & Politics,@quorumgt || Quorum GT || guatemala noticias,topic,3,4,0.5,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales || Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu || La cooptación de Walter Mazariegos en la USAC || Qué rico come tu diputado,b_Hkrkl3adA|is3Mk5oC19g|j43HgwYFKfk|n8iP75gIpmw
1,3,False,2,Gobierno de la República de Guatemala || Noti7,84,20.69,62,2,1.355,28.0,122,16,21990.0,6692.0,Entertainment || News & Politics,@GobiernodeGuatemala || Gobierno de la República de Guatemala || guatemala noticias,topic,2,2,0.6667,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto || Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt || Inician los trabajos de recuperación del Puente Belice II.,06mFNPU0aB8|6W4u8sGEnGM|PjmxCj-a9Hg
2,3,False,1,Quorum,34,8.37,29,2,1.172,11.33,17,1,3093.0,717.0,News & Politics,@quorumgt/videos,channel,3,4,1.0,Arroz con pollo a la MONOPOLIO || Caminar en una ciudad hecha para carros || Internet: escoger el menos malo,WIUZtitfLRw|ndAZjHqzzT8|yLZS3JiEBg8
5,1,True,1,Noticias Telemundo,25,6.16,18,0,1.389,25.0,25,13,14200.0,14200.0,News & Politics,guatemala noticias,topic,0,0,,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,OkXlHx0hx-8
9,1,True,1,Municipalidad de Guatemala,25,6.16,25,0,1.0,25.0,1697,16,304089.0,304089.0,News & Politics,Municipalidad de Guatemala,topic,0,0,,Plan 2032 Ciudad de Guatemala,lj983NWyAQY
6,1,True,1,Quorum,4,0.99,4,0,1.0,4.0,8,0,1075.0,1075.0,News & Politics,@quorumgt/videos,channel,0,0,,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",TT4qJ5FXHYE
4,1,True,1,Quorum,3,0.74,3,0,1.0,3.0,4,0,673.0,673.0,News & Politics,@quorumgt/videos,channel,0,0,,10 Preguntas a un año del Paro Nacional,JkpVO1hx2f8
3,1,True,1,Noticiero Guatevisión 13 Hrs.,2,0.49,2,0,1.0,2.0,0,0,573.0,573.0,News & Politics,guatemala noticias,topic,0,0,,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",3Nfp9h5avBI
7,1,True,1,Quorum,1,0.25,1,0,1.0,1.0,2,0,1755.0,1755.0,News & Politics,@quorumgt/videos,channel,0,0,,SHAI WA: la vecina queer de Casa Presidencial,UhL9y3KUl8E
8,1,True,1,Quorum,1,0.25,1,0,1.0,1.0,0,0,1140.0,1140.0,News & Politics,@quorumgt/videos,channel,0,0,,Cruzando la ciudad a puro Transmetro,X_FAIef8qlE
10,1,True,1,Quorum,1,0.25,1,0,1.0,1.0,0,0,220.0,220.0,News & Politics,Quorum GT,topic,0,0,,¿Quiénes pagan más en Centroamérica?,s0eco-BofOs
11,1,True,1,Quorum,1,0.25,1,0,1.0,1.0,0,0,52.0,52.0,Nonprofits & Activism,@quorumgt,topic,0,0,,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,zweosulrwA8
