,0,1,2
red,bipartita_autor_video,proyeccion_autor_autor,proyeccion_video_video
tipo,bipartita,unimodal,unimodal
n_nodos,351,332,19
n_aristas,343,10732,11
densidad,0.005584,0.195319,0.064327
grado_medio,1.954,64.651,1.158
grado_mediano,1.0,48.0,1.0
grado_p25,1.0,18.0,0.0
grado_p75,1.0,127.0,2.0
grado_p90,1.0,127.0,3.1999999999999993
grado_p99,22.0,131.14,4.0
grado_max,128.0,183.0,4.0
grado_min,1.0,0.0,0.0
grado_std,7.716,51.833,1.385
grado_gini,0.4784,0.4303,0.6124
pct_nodos_grado_1,93.16,0.6,15.79
pct_nodos_grado_menor_igual_2,95.44,2.71,84.21
fuerza_media,2.313,64.663,1.368
fuerza_mediana,1.0,48.0,1.0
fuerza_max,161.0,184.0,5.0
suma_pesos,406.0,10734.0,13.0
n_componentes,10,10,10
tamano_componente_mayor,286,276,10
pct_nodos_en_componente_mayor,81.48,83.13,52.63
tamanos_componentes,"[286, 26, 19, 5, 4, 3, 2, 2, 2, 2]","[276, 25, 18, 4, 3, 2, 1, 1, 1, 1]","[10, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
n_componentes_de_tamano_2,4,1,0
n_nodos_aislados,0,4,9
pct_nodos_aislados,0.0,1.2,47.37
transitividad_global,0.0,0.984025,0.315789
clustering_medio,0.0,0.972049,0.149123
clustering_medio_ponderado,0.0,0.48624,0.093941
assortatividad_de_grado,-0.4283,0.9166,-0.0621
n_nodos_tipo_autor,332.0,,
n_nodos_tipo_video,19.0,,
densidad_bipartita,0.054375,,
max_aristas_bipartita,6308.0,,
clustering_bipartito_latapy_medio,0.892041,,
grado_medio_autores,1.033,,
grado_medio_videos,18.053,,
nota_transitividad,"La transitividad global de una red bipartita es 0 por construccion: un triangulo exigiria tres nodos mutuamente adyacentes y las aristas solo unen tipos distintos. La metrica interpretable aqui es el clustering bipartito de Latapy et al. (2008), que mide el solapamiento de vecindarios.",,
diametro_componente_mayor,12,6,5
longitud_media_camino_componente_mayor,4.7152,2.3565,2.4889
radio_componente_mayor,6,3,3
conectividad_por_nodos_global,0,0,0
conectividad_por_aristas_global,0,0,0
grafo_conexo,False,False,False
conectividad_por_nodos_componente_mayor,1,1,1
conectividad_por_aristas_componente_mayor,1,5,1
n_puntos_articulacion_componente_mayor,17,7,5
n_puentes_componente_mayor,279,0,5
densidad_componente_mayor,0.007042,0.270593,0.244444
definicion_cohesion,"Cohesion = conectividad por nodos (kappa): minimo numero de nodos cuya eliminacion desconecta el grafo. Vale 0 si el grafo ya esta desconectado, por lo que se reporta tambien kappa sobre la componente conexa mayor, que es la cifra interpretable en una red fragmentada. Se complementa con conectividad por aristas y con clustering medio como medida de cohesion local.","Cohesion = conectividad por nodos (kappa): minimo numero de nodos cuya eliminacion desconecta el grafo. Vale 0 si el grafo ya esta desconectado, por lo que se reporta tambien kappa sobre la componente conexa mayor, que es la cifra interpretable en una red fragmentada. Se complementa con conectividad por aristas y con clustering medio como medida de cohesion local.","Cohesion = conectividad por nodos (kappa): minimo numero de nodos cuya eliminacion desconecta el grafo. Vale 0 si el grafo ya esta desconectado, por lo que se reporta tambien kappa sobre la componente conexa mayor, que es la cifra interpretable en una red fragmentada. Se complementa con conectividad por aristas y con clustering medio como medida de cohesion local."
