dataset,variable,n,min,p25,mediana,media,p75,p90,p99,max,std,asimetria,curtosis,limite_iqr_inf,limite_iqr_sup,n_atipicos_iqr,pct_atipicos_iqr,n_atipicos_z_robusto_3.5,ratio_max_mediana
youtube_videos,view_count_num,293,2.0,215.0,1175.0,60430.09,7465.0,51318.8000000001,523972.5599999961,8190449.0,515798.31,14.258,217.268,-10660.0,18340.0,49,16.72,76,6970.6
youtube_videos,title_len,293,6.0,43.0,59.0,60.45,82.0,92.0,100.0,100.0,22.9,-0.08,-0.817,-15.5,140.5,0,0.0,0,1.7
youtube_videos,description_len,293,0.0,64.0,236.0,427.5,602.0,1126.2,2740.7599999999984,3538.0,540.34,2.451,7.871,-743.0,1409.0,17,5.8,23,15.0
youtube_videos,n_keywords,293,0.0,0.0,0.0,6.1,7.0,21.0,43.15999999999997,53.0,9.87,1.992,4.071,-10.5,17.5,40,13.65,0,
youtube_videos,n_query_hits,293,1.0,1.0,1.0,1.02,1.0,1.0,2.0,2.0,0.13,7.496,54.564,1.0,1.0,5,1.71,0,2.0
youtube_comments,like_count,406,0.0,0.0,1.0,5.73,2.0,7.0,111.29999999999961,405.0,30.66,9.878,108.953,-3.0,5.0,48,11.82,42,405.0
youtube_comments,reply_count_num,406,0.0,0.0,0.0,0.13,0.0,0.0,3.0,7.0,0.58,7.205,65.718,0.0,0.0,30,7.39,0,
youtube_comments,len_original,406,1.0,50.0,96.5,139.24,178.25,285.5,838.0999999999982,1525.0,157.04,3.981,24.568,-142.375,370.625,21,5.17,19,15.8
youtube_comments,tokens_original,406,1.0,8.0,16.0,24.06,31.0,49.0,129.74999999999994,282.0,27.64,4.187,27.621,-26.5,65.5,22,5.42,21,17.6
youtube_comments,n_emojis,406,0.0,0.0,0.0,0.49,0.0,1.0,7.0,18.0,1.7,5.621,41.422,0.0,0.0,61,15.02,0,
