ngram,n,frecuencia,pct_del_total,n_documentos,pct_documentos
bernardo arevalo,2,10,0.291,8,2.02
presidente bernardo,2,9,0.262,7,1.77
ciudad guatemala,2,6,0.175,6,1.52
buscar trabajo,2,5,0.146,5,1.26
dar el,2,5,0.146,5,1.26
nery roda,2,5,0.146,5,1.26
pueblo pagar,2,5,0.146,5,1.26
bla bla,2,5,0.146,2,0.51
pagar sueldo,2,5,0.146,5,1.26
pacto corrupto,2,5,0.146,4,1.01
vivo guatemala,2,4,0.117,4,1.01
diputado alcanzar,2,4,0.117,4,1.01
morir el,2,4,0.117,4,1.01
gastar dinero,2,4,0.117,3,0.76
pagar dinero,2,4,0.117,4,1.01
canasta basico,2,4,0.117,4,1.01
dinero pueblo,2,4,0.117,4,1.01
excelente video,2,4,0.117,4,1.01
senor presidente,2,4,0.117,4,1.01
pagar comida,2,4,0.117,4,1.01
morir hambre,2,4,0.117,4,1.01
hand purple,2,3,0.087,1,0.25
purple blue,2,3,0.087,1,0.25
blue peace,2,3,0.087,1,0.25
el hambre,2,3,0.087,3,0.76
excelente trabajo,2,3,0.087,3,0.76
diputado nery,2,3,0.087,3,0.76
pagar almuerzo,2,3,0.087,3,0.76
apoyo presidente,2,3,0.087,3,0.76
ley competencia,2,3,0.087,3,0.76
libre mercado,2,3,0.087,2,0.51
comunidad internacional,2,3,0.087,3,0.76
guatemala saludos,2,3,0.087,3,0.76
costilla pueblo,2,3,0.087,3,0.76
tren maya,2,3,0.087,2,0.51
excelente informacion,2,3,0.087,3,0.76
reunion virtual,2,2,0.058,2,0.51
peace hand,2,2,0.058,1,0.25
sueldo buscar,2,2,0.058,2,0.51
trabajo departamento,2,2,0.058,2,0.51
pueblo morir,2,2,0.058,2,0.51
ganar quetzales,2,2,0.058,1,0.25
trabajar capital,2,2,0.058,2,0.51
hacer el,2,2,0.058,2,0.51
el dinero,2,2,0.058,2,0.51
entender periodista,2,2,0.058,2,0.51
partido politico,2,2,0.058,2,0.51
puente rio,2,2,0.058,2,0.51
jugoso salario,2,2,0.058,2,0.51
politico gastar,2,2,0.058,2,0.51
nino desnutrido,2,2,0.058,2,0.51
san carlos,2,2,0.058,2,0.51
excelente iniciativa,2,2,0.058,2,0.51
esperar seguir,2,2,0.058,2,0.51
persona trabajador,2,2,0.058,2,0.51
estudiante catedratico,2,2,0.058,2,0.51
vivo vivo,2,2,0.058,2,0.51
vivo presidente,2,2,0.058,2,0.51
pueblo guatemala,2,2,0.058,2,0.51
diputado ladron,2,2,0.058,2,0.51
