ngram,n,frecuencia,pct_del_total,n_documentos,pct_documentos
pueblo,1,56,1.463,41,10.35
guatemala,1,51,1.332,47,11.87
diputado,1,50,1.306,39,9.85
el,1,46,1.202,37,9.34
pagar,1,39,1.019,30,7.58
dinero,1,34,0.888,27,6.82
presidente,1,32,0.836,26,6.57
corrupto,1,30,0.784,21,5.3
trabajo,1,29,0.758,27,6.82
seguir,1,23,0.601,22,5.56
excelente,1,22,0.575,21,5.3
sueldo,1,20,0.522,15,3.79
trabajar,1,20,0.522,16,4.04
empresa,1,19,0.496,10,2.53
proyecto,1,19,0.496,16,4.04
almuerzo,1,17,0.444,16,4.04
senor,1,17,0.444,16,4.04
dejar,1,15,0.392,14,3.54
persona,1,15,0.392,15,3.79
arevalo,1,15,0.392,13,3.28
llegar,1,14,0.366,14,3.54
gobierno,1,14,0.366,13,3.28
corrupcion,1,14,0.366,14,3.54
ganar,1,13,0.34,7,1.77
video,1,13,0.34,10,2.53
buscar,1,12,0.313,11,2.78
salir,1,12,0.313,11,2.78
ano,1,12,0.313,10,2.53
pasar,1,12,0.313,11,2.78
ley,1,12,0.313,11,2.78
vivo,1,11,0.287,7,1.77
problema,1,11,0.287,10,2.53
salario,1,11,0.287,10,2.53
hablar,1,11,0.287,10,2.53
bernardo,1,11,0.287,9,2.27
comida,1,11,0.287,10,2.53
morir,1,10,0.261,10,2.53
informacion,1,10,0.261,10,2.53
entender,1,10,0.261,10,2.53
politico,1,10,0.261,9,2.27
mexico,1,10,0.261,9,2.27
roda,1,10,0.261,9,2.27
gasto,1,10,0.261,8,2.02
dios,1,10,0.261,8,2.02
ladron,1,9,0.235,9,2.27
hambre,1,9,0.235,9,2.27
comer,1,9,0.235,9,2.27
sacar,1,9,0.235,9,2.27
periodista,1,9,0.235,9,2.27
querer,1,9,0.235,9,2.27
usac,1,9,0.235,9,2.27
gastar,1,9,0.235,7,1.77
terminar,1,9,0.235,9,2.27
congreso,1,9,0.235,7,1.77
ciudad,1,9,0.235,7,1.77
salvador,1,9,0.235,7,1.77
tiempo,1,8,0.209,8,2.02
internet,1,8,0.209,5,1.26
guatemalteco,1,8,0.209,7,1.77
esperar,1,8,0.209,8,2.02
