video_id,title,channel_id,channel_name,channel_handle_norm,category,source_query,source_group,view_count_final,publish_date,n_keywords,n_query_hits,description_len,video_url,n_comentarios_observados,n_autores_observados,n_me_gusta_observados,n_respuestas_observadas,tiene_comentarios_observados
n8iP75gIpmw,Qué rico come tu diputado,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,@quorumgt,News & Politics,Quorum GT,topic,11775,2024-08-27T14:09:51-07:00,0,1,365,https://www.youtube.com/watch?v=n8iP75gIpmw,161,128,358,3,True
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,@quorumgt,News & Politics,@quorumgt,topic,10156,2024-09-26T15:00:17-07:00,10,1,958,https://www.youtube.com/watch?v=j43HgwYFKfk,50,49,91,0,True
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,Gobierno de la República de Guatemala,topic,11670,2026-08-26T21:00:47-07:00,0,1,58,https://www.youtube.com/watch?v=6W4u8sGEnGM,45,32,90,11,True
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,@noticias,News & Politics,guatemala noticias,topic,14200,2026-08-30T16:38:02-07:00,13,1,2733,https://www.youtube.com/watch?v=OkXlHx0hx-8,25,18,25,13,True
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Entertainment,@GobiernodeGuatemala,topic,3628,2025-08-11T20:14:15-07:00,0,1,59,https://www.youtube.com/watch?v=PjmxCj-a9Hg,25,19,20,4,True
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,@MunicipalidaddeGuatemala-1551,News & Politics,Municipalidad de Guatemala,topic,304089,2019-02-28T18:31:10-08:00,36,1,128,https://www.youtube.com/watch?v=lj983NWyAQY,25,25,1697,16,True
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,@quorumgt,News & Politics,@quorumgt/videos,channel,1954,2024-05-09T19:15:12-07:00,0,1,317,https://www.youtube.com/watch?v=yLZS3JiEBg8,16,16,13,0,True
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,@Noti7Guatemala,News & Politics,guatemala noticias,topic,6692,2026-08-13T22:00:12-07:00,11,1,89,https://www.youtube.com/watch?v=06mFNPU0aB8,14,13,12,1,True
ndAZjHqzzT8,Internet: escoger el menos malo,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,@quorumgt,News & Politics,@quorumgt/videos,channel,717,2024-05-16T18:15:07-07:00,9,1,275,https://www.youtube.com/watch?v=ndAZjHqzzT8,12,10,3,1,True
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,@PrensaLibreOficial,News & Politics,guatemala noticias,topic,5469,2026-08-31T08:08:05-07:00,18,1,620,https://www.youtube.com/watch?v=b_Hkrkl3adA,7,7,1,1,True
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,@TN23TodoNoticias,News & Politics,guatemala noticias,topic,4616,2026-08-30T21:30:18-07:00,7,1,0,https://www.youtube.com/watch?v=is3Mk5oC19g,7,7,0,1,True
WIUZtitfLRw,Caminar en una ciudad hecha para carros,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,@quorumgt,News & Politics,@quorumgt/videos,channel,422,2024-11-20T17:15:06-08:00,0,1,430,https://www.youtube.com/watch?v=WIUZtitfLRw,6,6,1,0,True
